Horizon,RMSE,MAE,MAPE (%),Forecast,Actual,Feature Set
1,6685.571986431081,6685.571986431081,2.3423943021696343,[278730.59301357],[285416.165],Exogenous Features
7,13054.319836850556,10822.626371459246,4.1635791182081805,"[278875.5994833  289383.10702484 292849.00937876 291273.66453176
 283984.30101073 263921.4008982  263038.2777889 ]","[285416.165  292664.9975 284392.5725 284728.2325 268607.375  237299.805
 254102.74  ]",Exogenous Features
30,17310.198759438146,15065.698210231436,5.829585961815116,"[277361.94189052 287797.93475311 291175.99881967 289541.80271535
 282206.31369079 262104.21202491 261187.05705526 282402.07984004
 286295.1100339  283967.89619822 283717.07444257 283990.67030653
 253359.26350664 245920.7339761  285037.52187943 298095.11067297
 300580.72982683 315848.65900012 313561.61017837 275520.2948962
 263456.51549936 306299.20502542 298548.22060214 305143.1357326
 315102.60107523 294727.77519128 271469.08882765 254927.44295545
 289362.02250107 286533.10419678]","[285416.165  292664.9975 284392.5725 284728.2325 268607.375  237299.805
 254102.74   267414.985  264764.105  262245.18   265311.555  261266.72
 233348.795  213597.82   269251.7975 279983.5975 278915.1925 315364.025
 307607.4525 259438.045  245571.2425 313337.6525 303200.6025 306242.435
 295339.4975 288910.1475 252840.4525 231379.2325 259544.9475 262605.6425]",Exogenous Features
90,25652.639407069368,21600.693851860342,8.788761726613297,"[278831.27737026 289272.80932587 292694.31388315 291083.15601736
 283765.30862487 263682.93242286 262789.180743   284026.47589717
 287944.7261838  285642.13570017 285416.98819989 285714.65541395
 255109.48376726 247694.64259121 286834.99424576 299913.75109961
 302421.33981218 317707.12427112 315435.38390579 277410.80189999
 265359.60561777 308211.99311136 300469.14829074 307072.318716
 317038.42748362 296670.77922723 273414.89816908 256876.40471693
 291313.55795487 288485.94867157 282500.72650861 283963.36198471
 286485.73412342 260368.79748719 250388.64114844 279449.54558058
 291971.71846264 292094.00493996 290069.23860412 287699.05661104
 261487.59595981 253104.80330509 291701.23990063 302325.08436308
 296383.07904676 295913.3126343  293358.69970144 261370.09702721
 249212.49485134 283263.69428348 296448.82874721 288280.44988899
 282740.30161679 273084.25783523 248300.07786147 249185.14390233
 271638.10027879 282779.33231823 285547.18970664 284274.09567187
 280926.40803988 243547.1620063  232604.78567532 270256.26576364
 274238.48577886 268656.92145481 277460.9783123  282309.31828844
 250501.10608702 236081.35454706 275679.6074532  293393.72351667
 291451.41670054 285415.3002697  282216.48264573 257683.20814168
 251375.03901776 281254.25677265 290470.46364692 289584.18403999
 280653.79644522 273241.80422898 250244.36015809 243338.20896668
 285750.29674858 285070.50557389 282992.67581572 278116.19102284
 269890.44484225 242536.98334037]","[285416.165  292664.9975 284392.5725 284728.2325 268607.375  237299.805
 254102.74   267414.985  264764.105  262245.18   265311.555  261266.72
 233348.795  213597.82   269251.7975 279983.5975 278915.1925 315364.025
 307607.4525 259438.045  245571.2425 313337.6525 303200.6025 306242.435
 295339.4975 288910.1475 252840.4525 231379.2325 259544.9475 262605.6425
 279602.765  265460.7125 276750.3325 226015.47   209892.4025 219155.7
 253845.14   253316.1425 256309.9325 264768.6175 228831.455  217342.92
 288745.2525 259770.635  232228.895  252128.1275 269880.1875 251288.97
 229696.1225 247429.53   271946.0525 256343.94   265745.305  256314.755
 238387.59   212120.5275 251910.3625 276071.9175 258430.8925 252915.87
 255325.435  223468.475  213544.495  271007.0025 268878.6125 266563.4775
 285189.72   280178.09   231643.79   208653.38   281764.8525 266979.435
 262389.8825 231258.3625 235402.28   222548.8125 231738.6725 262825.2775
 262869.8225 259395.9525 249413.6525 245948.655  224581.9575 243667.1375
 242527.17   264232.825  283249.4425 252151.825  268169.8625 219633.885 ]",Exogenous Features
180,119138.2562155042,86758.53998069519,34.531405574031,"[280095.64648037 290592.86383026 294045.88450083 292472.30741506
 285191.2303778  265142.10692237 264275.34746053 285542.30640254
 289484.78837863 287206.45613474 287001.55063886 287317.50050672
 256722.48994707 249319.03878567 288467.1202681  301552.00410559
 304061.57870378 319351.42401477 317083.49506607 279057.04294308
 267006.79064584 309860.11322854 302117.95412265 308720.3409328
 318685.84411723 298315.88932702 275062.10994582 258525.33528944
 292963.53043564 290138.19196534 284152.45336103 285615.06205795
 288137.37193317 262020.36401551 252040.1097077  281100.92510481
 293623.00889843 293745.19742195 291720.34199005 289350.06206606
 263138.50344577 254755.63072056 293351.96927837 303975.7514392
 298033.66596845 297563.81938632 295009.15299429 263020.48804894
 250862.83239102 284913.99625492 298099.08612483 289930.67167549
 284390.47890866 274734.41735061 249950.20165602 250835.25881628
 273288.18848985 284429.40273754 287197.22451194 285924.13049243
 282576.41614992 245197.15230934 234254.78489712 271906.24717843
 275888.45817571 270306.89385929 279110.94181328 283959.25507128
 252151.05178099 237731.29133752 277329.55315479 295043.64250013
 293101.335684   287065.22816429 283866.39272568 259333.11822164
 253024.94909771 282904.16685261 292120.37372687 291234.09411995
 282303.71543631 274891.71431656 251894.27024568 244988.11905427
 287400.19792504 286720.41566148 284642.5859033  279766.10111043
 271540.3371152  244186.88452445 239580.13826371 278029.68304147
 283070.73212744 275983.98889642 271332.3404731  259378.14317447
 236928.32500617 246278.08124282 276656.55598082 281232.77752452
 274467.56380923 262861.81359577 268087.22724119 240955.21948142
 235305.24400474 270900.90782105 279050.9527217  268597.65487088
 277272.81043881 457644.6157097  422958.45492962 418070.93187532
 452140.8820626  464585.59705977 459179.57450533 463583.95821534
 447977.75202439 427040.67450121 417748.62156101 446887.3773351
 450088.82346936 449078.74439832 455692.86055405 450628.40861693
 426649.82794719 410865.1078292  434858.9555437  437420.23224139
 444159.45671658 457565.46422505 447371.90196896 417895.93919219
 404981.35601515 446455.06180848 463569.02488245 462009.52640317
 459699.6730525  446781.07749539 418276.96740845 415448.33718447
 448228.05176277 454955.31287113 445359.68496589 445602.06883686
 451953.50715383 426804.32919024 416978.81530776 449560.10808801
 458998.82319921 447201.36480273 441003.20445951 433783.16590404
 411132.26672892 399961.64656021 436324.23325969 450032.82653423
 460749.40890923 446365.41078868 443233.46140026 419864.64801098
 415428.51604827 441225.37186902 447250.67104102 441286.72560325
 439661.91554882 447715.40975897 426759.92333879 423628.85193813
 450460.19042597 462871.04671746 462370.89028657 457166.50359319
 447962.26159667 420281.86395134 412241.3606015  441241.63147439
 455243.83521198 455661.08697669 460772.23267489 458352.30346998]","[285416.165  292664.9975 284392.5725 284728.2325 268607.375  237299.805
 254102.74   267414.985  264764.105  262245.18   265311.555  261266.72
 233348.795  213597.82   269251.7975 279983.5975 278915.1925 315364.025
 307607.4525 259438.045  245571.2425 313337.6525 303200.6025 306242.435
 295339.4975 288910.1475 252840.4525 231379.2325 259544.9475 262605.6425
 279602.765  265460.7125 276750.3325 226015.47   209892.4025 219155.7
 253845.14   253316.1425 256309.9325 264768.6175 228831.455  217342.92
 288745.2525 259770.635  232228.895  252128.1275 269880.1875 251288.97
 229696.1225 247429.53   271946.0525 256343.94   265745.305  256314.755
 238387.59   212120.5275 251910.3625 276071.9175 258430.8925 252915.87
 255325.435  223468.475  213544.495  271007.0025 268878.6125 266563.4775
 285189.72   280178.09   231643.79   208653.38   281764.8525 266979.435
 262389.8825 231258.3625 235402.28   222548.8125 231738.6725 262825.2775
 262869.8225 259395.9525 249413.6525 245948.655  224581.9575 243667.1375
 242527.17   264232.825  283249.4425 252151.825  268169.8625 219633.885
 211913.525  250768.075  246260.325  243111.71   252188.95   257326.98
 233314.28   238262.6825 248014.0775 253761.285  246858.84   264905.025
 282765.5775 245443.125  234917.4725 286346.2825 250852.415  261084.025
 271582.9    257840.645  229278.4625 223635.7725 252948.36   259362.4825
 264282.63   277165.12   256584.1425 236314.5825 236201.34   273690.6425
 269918.11   274454.4925 264891.9625 260618.67   223110.855  215638.885
 264354.9875 276084.6025 283259.6875 304118.0125 269103.2675 223406.995
 220262.8475 272297.5025 268622.8275 255066.1225 247341.7175 246783.465
 226546.735  248820.935  249976.39   248645.7525 256476.7175 268801.6475
 253378.985  220405.3375 208418.6925 246180.1025 239741.59   244347.825
 251028.0775 253356.96   231763.2775 233331.6825 281290.205  269373.3425
 294289.39   274032.9975 271638.4    230158.035  222284.23   262553.67
 273470.6225 280622.8175 277376.86   289202.74   240000.865  220234.98
 261707.225  252001.205  252514.1625 253044.7925 257367.575  231444.895
 235275.3375 273524.04   275390.51   278016.18   283150.905  277349.1325]",Exogenous Features
1,8644.909786229662,8644.909786229662,3.0288788254966788,[276771.25521377],[285416.165],Generated Features
7,8924.773827468947,8009.666190033284,3.0097409989032076,"[277096.36481765 281981.49704024 281852.16498133 283172.78224119
 278512.16653003 248038.11604605 241777.33766545]","[285416.165  292664.9975 284392.5725 284728.2325 268607.375  237299.805
 254102.74  ]",Generated Features
30,14477.521141564983,11404.699141862924,4.189158545246303,"[276562.59014419 281473.0050511  281333.25123926 282646.93551573
 277979.81417408 247501.05030356 241233.43462742 276730.40408079
 275964.51486664 271960.08244572 269238.41090084 264161.45136842
 235658.26908799 220284.14848986 258912.26614315 264976.54606194
 267112.24768653 275523.6092902  278978.51173478 255048.00726058
 251256.74852275 296511.58812275 303749.69435318 307497.69665865
 304331.38837312 297160.45060099 267853.56506283 256529.11893668
 285986.37702476 282897.85188266]","[285416.165  292664.9975 284392.5725 284728.2325 268607.375  237299.805
 254102.74   267414.985  264764.105  262245.18   265311.555  261266.72
 233348.795  213597.82   269251.7975 279983.5975 278915.1925 315364.025
 307607.4525 259438.045  245571.2425 313337.6525 303200.6025 306242.435
 295339.4975 288910.1475 252840.4525 231379.2325 259544.9475 262605.6425]",Generated Features
90,13681.242050784746,10915.525130909096,4.258213897736656,"[275910.12589553 280798.17291304 280641.37051722 281942.06266722
 277264.73003711 246776.92201529 240503.87862004 275995.11419431
 275226.20814209 271218.38896427 268494.07691646 263415.72057924
 234913.01024553 219537.32702532 258165.08111507 264229.59701867
 266365.70686927 274777.52771672 278230.65700608 254300.89881637
 250509.79311656 295764.53703632 303002.22233017 306749.81004672
 303583.3997104  296412.54488505 267105.67207272 255781.22594657
 285238.51591789 282149.3083417  277185.25350997 272636.95713376
 266653.75838993 234202.41151222 221778.27197363 253568.81734169
 255840.64760306 250980.49352162 249731.92263276 243725.03025711
 216004.68728281 208264.584392   257719.36629456 262140.7284087
 258269.00361199 257947.41069887 254816.5820618  230466.38437735
 223737.66886859 255346.82935055 260901.28954857 264565.80568355
 267223.45975699 261262.31395507 231048.63806485 219401.54622279
 258475.27445478 262597.97877011 262326.32578656 260479.67719928
 256450.33480928 225805.83001313 217217.12587565 258435.07821985
 260610.63421923 261061.27829174 266394.94997374 266323.96201603
 239361.29725929 229703.6527886  269509.21759105 272606.99831573
 271453.52495304 262954.27599369 251572.52564117 221786.43636207
 216643.271283   244471.54342725 254628.27048455 253454.4194809
 256771.38865564 254566.05160546 226659.019232   219545.37213026
 254522.651342   258131.2917387  261260.90547725 262051.0810449
 261658.99777696 232545.35286784]","[285416.165  292664.9975 284392.5725 284728.2325 268607.375  237299.805
 254102.74   267414.985  264764.105  262245.18   265311.555  261266.72
 233348.795  213597.82   269251.7975 279983.5975 278915.1925 315364.025
 307607.4525 259438.045  245571.2425 313337.6525 303200.6025 306242.435
 295339.4975 288910.1475 252840.4525 231379.2325 259544.9475 262605.6425
 279602.765  265460.7125 276750.3325 226015.47   209892.4025 219155.7
 253845.14   253316.1425 256309.9325 264768.6175 228831.455  217342.92
 288745.2525 259770.635  232228.895  252128.1275 269880.1875 251288.97
 229696.1225 247429.53   271946.0525 256343.94   265745.305  256314.755
 238387.59   212120.5275 251910.3625 276071.9175 258430.8925 252915.87
 255325.435  223468.475  213544.495  271007.0025 268878.6125 266563.4775
 285189.72   280178.09   231643.79   208653.38   281764.8525 266979.435
 262389.8825 231258.3625 235402.28   222548.8125 231738.6725 262825.2775
 262869.8225 259395.9525 249413.6525 245948.655  224581.9575 243667.1375
 242527.17   264232.825  283249.4425 252151.825  268169.8625 219633.885 ]",Generated Features
180,12853.244831763282,10245.743125616451,4.010296450231694,"[275624.73258499 280486.31054732 280311.96853968 281597.26390013
 276907.62798633 246411.35634146 240129.88112248 275615.95684568
 274842.73914795 270831.73100529 268105.10999752 263024.02392397
 234517.49309465 219140.77661028 257766.66839535 263829.2644381
 265963.62026038 274374.363288   277828.08577805 253896.82233932
 250104.84279918 295359.18498554 302596.87656601 306344.51530795
 303178.10497163 296006.73348368 266699.40785153 255374.95537772
 284832.04124748 281743.36943789 276779.17428634 272230.84598874
 266247.61538456 233796.23658546 221372.08435156 253162.61061562
 255434.42812063 250574.26116078 249325.67751558 243318.78520096
 215598.42947031 207858.3265795  257313.10207337 261734.45783985
 257862.73945183 257541.13372133 254410.30508426 230060.10739981
 223331.39829974 254940.55243404 260495.01897972 264159.53511471
 266817.18918814 260856.03703856 230642.36755704 218995.27571498
 258069.00394697 262191.7082623  261920.05527875 260073.40669147
 256044.06430147 225399.55950532 216810.85536784 258028.80771204
 260204.36371141 260655.00778392 265988.67946593 265917.69150822
 238955.02675148 229297.38228079 269102.94708324 272200.72780792
 271047.25444523 262548.00548588 251166.25513336 221380.16585426
 216237.00077519 244065.27291944 254221.99997674 253048.14897309
 256365.11814782 254159.78109764 226252.74872419 219139.10162245
 254116.38083419 257725.02123088 260854.63496944 261644.81053709
 261252.72726915 232139.08236003 218032.74041549 257571.14766587
 258104.42562457 251050.41169288 251354.45849321 245637.26315639
 219675.48083479 215120.87591251 245578.66452094 257554.39714098
 257752.81252391 260058.32361638 260145.40462833 233542.49402692
 223885.35359978 268166.20715376 271240.34054335 272971.2557095
 274220.80818656 266156.02603682 235084.29728126 224256.44254566
 249612.74680184 261914.90270355 261703.11061022 262752.26644111
 258726.16960988 231430.04185448 224588.71015596 266034.34742183
 271093.51587866 272015.46311765 270092.84441892 266687.0390233
 236124.51299782 223906.07349561 260542.48404648 264993.87648941
 265633.09701343 272001.4213938  269310.96343131 241024.98927479
 233072.8383982  272573.35687849 274802.28377608 269735.25355122
 260626.66529747 253085.44452676 225274.33567602 220968.03299223
 255528.73511095 255745.8005163  255348.25175161 259026.56657759
 256222.91042356 226938.93124641 211529.76430241 249197.80722854
 251350.53804059 248915.20543848 246305.77548418 242477.82045894
 215923.64003676 211143.96935897 254936.89142264 263133.88244384
 270565.04615359 274559.79145733 273688.97513577 245221.7166783
 234651.93167685 269700.369883   273701.10400149 270804.56609655
 271508.84440127 270268.844939   243291.68624903 234096.11690621
 272107.15306969 272182.36554375 266939.87894243 263113.75635046
 253945.35666821 224101.09060294 217679.4073905  250341.16007686
 264757.72931187 268162.46813613 273066.11788452 272236.57200418]","[285416.165  292664.9975 284392.5725 284728.2325 268607.375  237299.805
 254102.74   267414.985  264764.105  262245.18   265311.555  261266.72
 233348.795  213597.82   269251.7975 279983.5975 278915.1925 315364.025
 307607.4525 259438.045  245571.2425 313337.6525 303200.6025 306242.435
 295339.4975 288910.1475 252840.4525 231379.2325 259544.9475 262605.6425
 279602.765  265460.7125 276750.3325 226015.47   209892.4025 219155.7
 253845.14   253316.1425 256309.9325 264768.6175 228831.455  217342.92
 288745.2525 259770.635  232228.895  252128.1275 269880.1875 251288.97
 229696.1225 247429.53   271946.0525 256343.94   265745.305  256314.755
 238387.59   212120.5275 251910.3625 276071.9175 258430.8925 252915.87
 255325.435  223468.475  213544.495  271007.0025 268878.6125 266563.4775
 285189.72   280178.09   231643.79   208653.38   281764.8525 266979.435
 262389.8825 231258.3625 235402.28   222548.8125 231738.6725 262825.2775
 262869.8225 259395.9525 249413.6525 245948.655  224581.9575 243667.1375
 242527.17   264232.825  283249.4425 252151.825  268169.8625 219633.885
 211913.525  250768.075  246260.325  243111.71   252188.95   257326.98
 233314.28   238262.6825 248014.0775 253761.285  246858.84   264905.025
 282765.5775 245443.125  234917.4725 286346.2825 250852.415  261084.025
 271582.9    257840.645  229278.4625 223635.7725 252948.36   259362.4825
 264282.63   277165.12   256584.1425 236314.5825 236201.34   273690.6425
 269918.11   274454.4925 264891.9625 260618.67   223110.855  215638.885
 264354.9875 276084.6025 283259.6875 304118.0125 269103.2675 223406.995
 220262.8475 272297.5025 268622.8275 255066.1225 247341.7175 246783.465
 226546.735  248820.935  249976.39   248645.7525 256476.7175 268801.6475
 253378.985  220405.3375 208418.6925 246180.1025 239741.59   244347.825
 251028.0775 253356.96   231763.2775 233331.6825 281290.205  269373.3425
 294289.39   274032.9975 271638.4    230158.035  222284.23   262553.67
 273470.6225 280622.8175 277376.86   289202.74   240000.865  220234.98
 261707.225  252001.205  252514.1625 253044.7925 257367.575  231444.895
 235275.3375 273524.04   275390.51   278016.18   283150.905  277349.1325]",Generated Features
