"VAT";"Periods";"Natural gas/Transport rate (Euro/year)";"Natural gas/Fixed delivery rate (Euro/year)";"Natural gas/Variable delivery rate contract prices (Euro/m3)";"Natural gas/Energy tax (Euro/m3)";"Electricity/Transport rate (Euro/year)";"Electricity/Fixed delivery rate (Euro/year)";"Electricity/Variable delivery rate contract prices (Euro/kWh)";"Electricity/Energy tax (Euro/kWh)";"Electricity/Energy tax refund (Euro/year)"
"Including VAT";"2021 January";"  187.85";"   67.48";"  0.2781";" 0.42176";"  257.35";"   67.49";"  0.0661";" 0.11408";" -558.56"
"Including VAT";"2021 February";"  187.85";"   67.73";"  0.2763";" 0.42176";"  257.35";"   67.73";"  0.0657";" 0.11408";" -558.56"
"Including VAT";"2021 March";"  187.85";"   67.95";"  0.2752";" 0.42176";"  257.35";"   67.96";"  0.0657";" 0.11408";" -558.56"
"Including VAT";"2021 April";"  187.85";"   68.25";"  0.2754";" 0.42176";"  257.35";"   68.25";"  0.0659";" 0.11408";" -558.56"
"Including VAT";"2021 May";"  187.85";"   68.56";"  0.2764";" 0.42176";"  257.35";"   68.56";"  0.0663";" 0.11408";" -558.56"
"Including VAT";"2021 June";"  187.85";"   68.86";"  0.2779";" 0.42176";"  257.35";"   68.84";"  0.0670";" 0.11408";" -558.56"
"Including VAT";"2021 July";"  187.85";"   69.31";"  0.2930";" 0.42176";"  257.35";"   69.34";"  0.0734";" 0.11408";" -558.56"
"Including VAT";"2021 August";"  187.85";"   69.54";"  0.2958";" 0.42176";"  257.35";"   69.57";"  0.0745";" 0.11408";" -558.56"
"Including VAT";"2021 September";"  187.85";"   69.73";"  0.2992";" 0.42176";"  257.35";"   69.76";"  0.0755";" 0.11408";" -558.56"
"Including VAT";"2021 October";"  187.85";"   69.95";"  0.3056";" 0.42176";"  257.35";"   69.98";"  0.0773";" 0.11408";" -558.56"
"Including VAT";"2021 November";"  187.85";"   70.20";"  0.3311";" 0.42176";"  257.35";"   70.22";"  0.0830";" 0.11408";" -558.56"
