date,loadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month,Year,Week,WeekKey,day_of_week,is_weekend,is_holiday
2006-01-01,255022.0,0.0,0.0,1,4.0,23,7,5.3,13,2.4,4.0,1,1.0,15,1,2006,52,200652,Sunday,1,1
2006-01-02,314663.0,-0.1,-0.1,10,1.5,-35,24,5.6,14,1.3,3.0,14,0.0,4,1,2006,1,200601,Monday,0,0
2006-01-03,326082.0,-0.1,-0.1,20,-0.2,-45,8,4.5,12,1.6,3.0,19,1.0,1,1,2006,1,200601,Tuesday,0,0
2006-01-04,328763.0,-0.1,-0.1,1,1.6,-5,24,3.8,13,2.9,5.0,21,1.0,3,1,2006,1,200601,Wednesday,0,0
2006-01-05,329469.0,0.0,0.0,1,0.7,-13,7,1.9,20,4.6,6.0,3,3.0,8,1,2006,1,200601,Thursday,0,0
2006-01-06,325107.0,0.0,0.0,1,1.9,14,6,2.6,13,3.8,5.0,3,3.0,8,1,2006,1,200601,Friday,0,0
2006-01-07,287809.0,0.0,0.0,1,2.0,11,8,4.0,13,3.4,4.0,1,3.0,2,1,2006,1,200601,Saturday,1,0
2006-01-08,268182.0,0.0,0.0,1,1.9,-4,24,3.9,14,3.2,4.0,4,3.0,1,1,2006,1,200601,Sunday,1,0
2006-01-09,328132.0,0.0,0.0,1,-0.6,-27,8,2.8,13,2.3,3.0,1,2.0,6,1,2006,2,200602,Monday,0,0
2006-01-10,330482.0,0.0,0.0,1,2.2,-14,1,4.9,17,3.9,6.0,17,2.0,1,1,2006,2,200602,Tuesday,0,0
2006-01-11,328847.0,4.7,1.3,10,3.6,13,24,5.3,15,4.4,6.0,3,1.0,22,1,2006,2,200602,Wednesday,0,0
2006-01-12,334935.0,0.0,0.0,1,1.9,-8,5,4.3,15,2.5,5.0,17,0.0,3,1,2006,2,200602,Thursday,0,0
2006-01-13,327973.0,0.0,0.0,1,1.2,-10,24,3.9,14,3.4,4.0,12,2.0,1,1,2006,2,200602,Friday,0,0
2006-01-14,286376.0,0.0,0.0,1,1.0,-14,6,4.6,14,3.5,4.0,1,3.0,3,1,2006,2,200602,Saturday,1,0
2006-01-15,268837.0,0.0,0.0,1,-1.6,-34,24,1.2,14,3.2,4.0,13,2.0,6,1,2006,2,200602,Sunday,1,0
2006-01-16,326362.0,0.7,0.5,19,0.7,-37,1,4.1,24,4.2,5.0,11,4.0,1,1,2006,3,200603,Monday,0,0
2006-01-17,332196.0,4.9,2.7,9,5.3,41,1,6.8,14,3.9,6.0,9,3.0,14,1,2006,3,200603,Tuesday,0,0
2006-01-18,333834.0,0.1,0.1,15,3.4,-15,23,8.2,13,1.8,3.0,1,1.0,11,1,2006,3,200603,Wednesday,0,0
2006-01-19,334662.0,1.3,0.3,20,4.6,-13,1,9.0,24,3.0,5.0,24,1.0,1,1,2006,3,200603,Thursday,0,0
2006-01-20,318879.0,2.5,1.8,13,7.8,50,19,9.8,11,5.2,7.0,11,4.0,14,1,2006,3,200603,Friday,0,0
2006-01-21,276712.0,0.4,0.3,10,5.8,30,24,8.2,12,4.1,6.0,19,2.0,24,1,2006,3,200603,Saturday,1,0
2006-01-22,270956.0,0.0,0.0,1,0.3,-26,23,3.0,1,3.0,4.0,19,2.0,1,1,2006,3,200603,Sunday,1,0
2006-01-23,331609.0,0.0,0.0,1,-2.8,-53,8,0.3,15,3.4,5.0,24,3.0,1,1,2006,4,200604,Monday,0,0
2006-01-24,337993.0,0.0,0.0,1,-2.1,-43,8,1.6,13,2.4,4.0,1,0.0,23,1,2006,4,200604,Tuesday,0,0
2006-01-25,332616.0,0.5,0.2,9,0.7,-70,5,6.1,12,3.6,7.0,17,0.0,2,1,2006,4,200604,Wednesday,0,0
2006-01-26,332752.0,-0.1,-0.1,4,1.1,3,21,2.2,2,5.3,7.0,2,4.0,19,1,2006,4,200604,Thursday,0,0
2006-01-27,335491.0,-0.1,-0.1,9,-1.9,-60,24,0.7,1,3.1,4.0,1,2.0,4,1,2006,4,200604,Friday,0,0
2006-01-28,291352.0,0.0,0.0,1,-2.8,-66,3,2.0,14,3.8,5.0,15,2.0,1,1,2006,4,200604,Saturday,1,0
2006-01-29,268774.0,0.0,0.0,1,-0.1,-57,8,4.6,14,3.8,5.0,5,2.0,22,1,2006,4,200604,Sunday,1,0
2006-01-30,327999.0,0.0,0.0,1,3.4,16,2,4.9,15,3.0,4.0,7,1.0,1,1,2006,5,200605,Monday,0,0
2006-01-31,331187.0,0.0,0.0,1,0.9,-30,22,3.7,14,2.6,4.0,3,1.0,21,1,2006,5,200605,Tuesday,0,0
2006-02-01,336294.0,-0.1,-0.1,5,-3.3,-45,10,-1.8,15,1.4,2.0,1,0.0,19,2,2006,5,200605,Wednesday,0,0
2006-02-02,337760.0,-0.1,-0.1,14,-1.8,-35,1,-1.0,17,1.3,2.0,19,1.0,1,2,2006,5,200605,Thursday,0,0
