FeatureSet,Horizon,Model,RMSE,MAE,MAPE
Exogenous Features,1,SARIMAX,6083.064418071706,6083.064418071706,2.131296388931477
Exogenous Features,1,GBR,34399.678037667705,34399.678037667705,12.052463124388105
Exogenous Features,1,LSTM,23909.80562499998,23909.80562499998,8.377172899439659
Exogenous Features,1,Ensemble,21464.182693579816,21464.182693579816,7.5203108042530875
Exogenous Features,30,SARIMAX,18917.728807795458,16480.003845009192,6.377902255518177
Exogenous Features,30,GBR,24352.282567891096,19484.08207167276,7.1405475935608225
Exogenous Features,30,LSTM,24975.016539457607,20850.353083333335,7.988161351323265
Exogenous Features,30,Ensemble,19649.76865071375,16406.64012438949,6.269447363909905
Exogenous Features,90,SARIMAX,25762.504552070277,21714.921325733903,8.834240050551777
Exogenous Features,90,GBR,25015.495599460734,20201.21720246016,8.165211842653495
Exogenous Features,90,LSTM,32787.17519588721,26757.94836111111,11.100220964271342
Exogenous Features,90,Ensemble,25937.495833429275,21732.995409416053,8.951445418969021
Exogenous Features,180,SARIMAX,118027.9490677321,85428.32827079535,34.00072082764261
Exogenous Features,180,GBR,23882.75072895071,19403.087593196735,7.910766197856735
Exogenous Features,180,LSTM,29848.375659713478,24073.03388541667,10.007199801442594
Exogenous Features,180,Ensemble,50310.16062266836,40979.20162517176,16.598888126861247
Generated Features,1,SARIMAX,8796.76414108806,8796.76414108806,3.0820833645102272
Generated Features,1,GBR,34399.678037667705,34399.678037667705,12.052463124388105
Generated Features,1,LSTM,23185.16499999998,23185.16499999998,8.123283767056424
Generated Features,1,Ensemble,22127.20239291858,22127.20239291858,7.752610085318253
Generated Features,30,SARIMAX,14481.428936450053,11424.637031216358,4.197900151765703
Generated Features,30,GBR,24352.282567891096,19484.08207167276,7.1405475935608225
Generated Features,30,LSTM,22929.49787192253,17610.407604166663,6.410916826846895
Generated Features,30,Ensemble,18725.633091178745,14999.71616081375,5.489671707983571
Generated Features,90,SARIMAX,13667.503165565271,10990.36151620882,4.299782917797412
Generated Features,90,GBR,25015.495599460734,20201.21720246016,8.165211842653495
Generated Features,90,LSTM,39947.8698686964,33317.15360416666,13.75024101610921
Generated Features,90,Ensemble,22759.343565643467,18652.89035313079,7.655089607930927
Generated Features,180,SARIMAX,12786.1377158105,10331.543954666984,4.060257784608382
Generated Features,180,GBR,23882.75072895071,19403.087593196735,7.910766197856735
Generated Features,180,LSTM,35467.61247152384,30011.189510416665,12.422555617108308
Generated Features,180,Ensemble,21101.46474343411,17432.73589433102,7.166861185997418
Both Exogenous & Generated,1,SARIMAX,8320.192082982976,8320.192082982976,2.9151089192803696
Both Exogenous & Generated,1,GBR,34399.678037667705,34399.678037667705,12.052463124388105
Both Exogenous & Generated,1,LSTM,18205.60249999998,18205.60249999998,6.3786164669404695
Both Exogenous & Generated,1,Ensemble,20308.49087355024,20308.49087355024,7.115396170202988
Both Exogenous & Generated,30,SARIMAX,13956.470083034557,11237.351432041356,4.140026820502689
Both Exogenous & Generated,30,GBR,24352.282567891096,19484.08207167276,7.1405475935608225
Both Exogenous & Generated,30,LSTM,24658.891562289613,20064.77729166667,7.653476843760161
Both Exogenous & Generated,30,Ensemble,18758.35409291523,15282.008799513655,5.710299398503023
Both Exogenous & Generated,90,SARIMAX,13109.464774853515,10571.658883441094,4.148367304909449
Both Exogenous & Generated,90,GBR,25015.495599460734,20201.21720246016,8.165211842653495
Both Exogenous & Generated,90,LSTM,37800.136311977956,32050.99953472222,13.206566523718669
Both Exogenous & Generated,90,Ensemble,22374.049842241806,18324.420360510412,7.509115766913239
Both Exogenous & Generated,180,SARIMAX,12277.585572891501,9991.499135769896,3.948899981364346
Both Exogenous & Generated,180,GBR,23882.75072895071,19403.087593196735,7.910766197856735
Both Exogenous & Generated,180,LSTM,45720.20550324527,40192.33656249999,16.489758809795397
Both Exogenous & Generated,180,Ensemble,23852.917157568503,19968.401571802355,8.223100214258915
