Year,Population,GeothermalHeat (MWh),AmbientAirHeat (MWh),TotalGeothermal&GroundEnergy (MWh),TotalBiomass (MWh),TotalRes(excl.Stat.Transfer) (MWh),TotalRes(incl.Stat.Transfer) (MWh),Totaal windenergie (MWh),TotalSolarEnergy (MWh),Total Including Non-Renewable (MWh),Hydropower (MWh),OnshoreWindEnergy (MWh),OffshoreWindEnergy (MWh),SolarPower (MWh),SolarThermalEnergy (MWh),AvgElectricitySupplyResedential (MWh)_Drenthe (PV),AvgElectricitySupplyResedential (MWh)_Flevoland (PV),AvgElectricitySupplyResedential (MWh)_Fryslân (PV),AvgElectricitySupplyResedential (MWh)_Gelderland (PV),AvgElectricitySupplyResedential (MWh)_Groningen (PV),AvgElectricitySupplyResedential (MWh)_Limburg (PV),AvgElectricitySupplyResedential (MWh)_Noord-Brabant (PV),AvgElectricitySupplyResedential (MWh)_Noord-Holland (PV),AvgElectricitySupplyResedential (MWh)_Overijssel (PV),AvgElectricitySupplyResedential (MWh)_The Netherlands,AvgElectricitySupplyResedential (MWh)_Utrecht (PV),AvgElectricitySupplyResedential (MWh)_Zeeland (PV),AvgElectricitySupplyResedential (MWh)_Zuid-Holland (PV),AvgGasConsumptionResedetial_Drenthe (PV),AvgGasConsumptionResedetial_Flevoland (PV),AvgGasConsumptionResedetial_Fryslân (PV),AvgGasConsumptionResedetial_Gelderland (PV),AvgGasConsumptionResedetial_Groningen (PV),AvgGasConsumptionResedetial_Limburg (PV),AvgGasConsumptionResedetial_Noord-Brabant (PV),AvgGasConsumptionResedetial_Noord-Holland (PV),AvgGasConsumptionResedetial_Overijssel (PV),AvgGasConsumptionResedetial_The Netherlands,AvgGasConsumptionResedetial_Utrecht (PV),AvgGasConsumptionResedetial_Zeeland (PV),AvgGasConsumptionResedetial_Zuid-Holland (PV),loadConsumption,"Crude, NGL and feedstocks (MWh)",Electricity (MWh),Heat (MWh),Natural gas (MWh),Oil products (MWh),Renewables and waste (MWh),Total (MWh),GDP,PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,Half_Year
2015,"16,90",1009452.5199999999,560837.82,1689457.9599999997,21863230.459999997,32553593.759999998,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,98611.9,5881713.72,1035286.0599999999,1108619.98,315835.86,2.8699999999999997,3.0233333333333334,2.5500000000000003,2.953333333333333,2.65,2.99,3.0733333333333337,2.706666666666667,2.9499999999999997,2.86,2.8866666666666667,2.646666666666667,2.77,1443.3333333333333,676.6666666666666,1333.3333333333333,1300.0,1423.3333333333333,1343.3333333333333,1220.0,1130.0,1283.3333333333333,1190.0,1070.0,1216.6666666666667,1076.6666666666667,113238624.0,25619240.428709283,103676829.7747308,26344794.8397079,224754716.7202962,247879144.52537918,14083129.49149458,648302286.141414,174803.35,TotalPrice,2015,1.139,0.755,0.673,0.717,0.657,0.43,0.339,0.283,-0.06,0.146,0.192,0.204,0.218,0.217,0.151,0.106,0.098,0.081,0.084,0.079,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,2015
2015,"16,90",1009452.5199999999,560837.82,1689457.9599999997,21863230.459999997,32553593.759999998,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,98611.9,5881713.72,1035286.0599999999,1108619.98,315835.86,2.8699999999999997,3.0233333333333334,2.5500000000000003,2.953333333333333,2.65,2.99,3.0733333333333337,2.706666666666667,2.9499999999999997,2.86,2.8866666666666667,2.646666666666667,2.77,1443.3333333333333,676.6666666666666,1333.3333333333333,1300.0,1423.3333333333333,1343.3333333333333,1220.0,1130.0,1283.3333333333333,1190.0,1070.0,1216.6666666666667,1076.6666666666667,113238624.0,25619240.428709283,103676829.7747308,26344794.8397079,224754716.7202962,247879144.52537918,14083129.49149458,648302286.141414,174803.35,DeliveryPrice,2015,0.816,0.663,0.631,0.646,0.616,0.418,0.326,0.27,-0.354,0.029,0.126,0.174,0.138,0.155,0.115,0.082,0.077,0.062,0.06,0.057,0.0226,0.0868571428571428,0.7033333333333335,0.4551999999999999,2015
2015,"16,90",1009452.5199999999,560837.82,1689457.9599999997,21863230.459999997,32553593.759999998,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,98611.9,5881713.72,1035286.0599999999,1108619.98,315835.86,2.8699999999999997,3.0233333333333334,2.5500000000000003,2.953333333333333,2.65,2.99,3.0733333333333337,2.706666666666667,2.9499999999999997,2.86,2.8866666666666667,2.646666666666667,2.77,1443.3333333333333,676.6666666666666,1333.3333333333333,1300.0,1423.3333333333333,1343.3333333333333,1220.0,1130.0,1283.3333333333333,1190.0,1070.0,1216.6666666666667,1076.6666666666667,113238624.0,25619240.428709283,103676829.7747308,26344794.8397079,224754716.7202962,247879144.52537918,14083129.49149458,648302286.141414,174803.35,NetworkPrice,2015,0.323,0.092,0.042,0.071,0.041,0.012,0.013,0.013,0.294,0.117,0.066,0.03,0.08,0.062,0.036,0.024,0.021,0.019,0.024,0.022,0.1173999999999999,0.0297142857142857,0.1523333333333333,0.03,2015
2016,"16,98",1070841.9,731950.2999999999,1860848.2199999997,20963778.819999997,33938327.059999995,33938327.059999995,8363955.799999999,1920293.14,580918258.42,97500.77999999998,6041159.4399999995,2322796.36,1601957.2599999998,318613.66,2.8033333333333332,2.9033333333333338,2.4633333333333334,2.846666666666667,2.5866666666666664,2.9299999999999997,3.01,2.643333333333333,2.876666666666667,2.793333333333333,2.8433333333333337,2.58,2.7266666666666666,1516.6666666666667,746.6666666666666,1393.3333333333333,1340.0,1490.0,1396.6666666666667,1253.3333333333333,1170.0,1313.3333333333333,1233.3333333333333,1120.0,1236.6666666666667,1106.6666666666667,114530586.0,26787600.46617434,104648497.2742864,25790034.09312188,230084610.4286522,259378051.05783042,13520915.07227896,666840296.5273659,180082.35,TotalPrice,2016,1.142,0.771,0.696,0.749,0.676,0.407,0.295,0.217,-0.108,0.113,0.16,0.174,0.222,0.184,0.145,0.102,0.093,0.075,0.072,0.07,0.1122,0.1058571428571428,0.8696666666666667,0.4688,2016
2016,"16,98",1070841.9,731950.2999999999,1860848.2199999997,20963778.819999997,33938327.059999995,33938327.059999995,8363955.799999999,1920293.14,580918258.42,97500.77999999998,6041159.4399999995,2322796.36,1601957.2599999998,318613.66,2.8033333333333332,2.9033333333333338,2.4633333333333334,2.846666666666667,2.5866666666666664,2.9299999999999997,3.01,2.643333333333333,2.876666666666667,2.793333333333333,2.8433333333333337,2.58,2.7266666666666666,1516.6666666666667,746.6666666666666,1393.3333333333333,1340.0,1490.0,1396.6666666666667,1253.3333333333333,1170.0,1313.3333333333333,1233.3333333333333,1120.0,1236.6666666666667,1106.6666666666667,114530586.0,26787600.46617434,104648497.2742864,25790034.09312188,230084610.4286522,259378051.05783042,13520915.07227896,666840296.5273659,180082.35,DeliveryPrice,2016,0.836,0.685,0.657,0.678,0.636,0.394,0.281,0.203,-0.398,-0.003,0.094,0.144,0.141,0.119,0.113,0.079,0.072,0.056,0.054,0.05,-0.0044,0.0775714285714285,0.726,0.4384,2016
2016,"16,98",1070841.9,731950.2999999999,1860848.2199999997,20963778.819999997,33938327.059999995,33938327.059999995,8363955.799999999,1920293.14,580918258.42,97500.77999999998,6041159.4399999995,2322796.36,1601957.2599999998,318613.66,2.8033333333333332,2.9033333333333338,2.4633333333333334,2.846666666666667,2.5866666666666664,2.9299999999999997,3.01,2.643333333333333,2.876666666666667,2.793333333333333,2.8433333333333337,2.58,2.7266666666666666,1516.6666666666667,746.6666666666666,1393.3333333333333,1340.0,1490.0,1396.6666666666667,1253.3333333333333,1170.0,1313.3333333333333,1233.3333333333333,1120.0,1236.6666666666667,1106.6666666666667,114530586.0,26787600.46617434,104648497.2742864,25790034.09312188,230084610.4286522,259378051.05783042,13520915.07227896,666840296.5273659,180082.35,NetworkPrice,2016,0.306,0.086,0.039,0.071,0.04,0.013,0.014,0.014,0.29,0.116,0.066,0.03,0.081,0.065,0.032,0.023,0.021,0.019,0.018,0.02,0.1166,0.0282857142857142,0.1436666666666666,0.0304,2016
2017,"17,08",1133620.18,980285.6199999999,1979738.0599999998,22786015.619999997,38004470.699999996,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,94167.41999999998,6266716.8,3375026.9999999995,2204462.0799999996,317780.31999999995,2.7433333333333336,2.8266666666666667,2.4,2.7733333333333334,2.5333333333333337,2.893333333333333,2.97,2.5900000000000003,2.8233333333333337,2.7466666666666666,2.793333333333333,2.5166666666666666,2.69,1443.3333333333333,720.0,1320.0,1296.6666666666667,1406.6666666666667,1343.3333333333333,1206.6666666666667,1116.6666666666667,1276.6666666666667,1183.3333333333333,1066.6666666666667,1170.0,1063.3333333333333,115020284.0,25185681.82075156,105818133.126661,24510980.78654672,233130137.6984054,269082789.0993924,14894031.89021598,680088697.126078,187778.575,TotalPrice,2017,1.2,0.766,0.668,0.739,0.651,0.381,0.286,0.242,-0.118,0.106,0.156,0.172,0.207,0.197,0.14,0.095,0.093,0.069,0.064,0.065,0.1046,0.1032857142857143,0.878,0.4598,2017
2017,"17,08",1133620.18,980285.6199999999,1979738.0599999998,22786015.619999997,38004470.699999996,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,94167.41999999998,6266716.8,3375026.9999999995,2204462.0799999996,317780.31999999995,2.7433333333333336,2.8266666666666667,2.4,2.7733333333333334,2.5333333333333337,2.893333333333333,2.97,2.5900000000000003,2.8233333333333337,2.7466666666666666,2.793333333333333,2.5166666666666666,2.69,1443.3333333333333,720.0,1320.0,1296.6666666666667,1406.6666666666667,1343.3333333333333,1206.6666666666667,1116.6666666666667,1276.6666666666667,1183.3333333333333,1066.6666666666667,1170.0,1063.3333333333333,115020284.0,25185681.82075156,105818133.126661,24510980.78654672,233130137.6984054,269082789.0993924,14894031.89021598,680088697.126078,187778.575,DeliveryPrice,2017,0.827,0.67,0.623,0.656,0.609,0.366,0.27,0.226,-0.403,-0.007,0.091,0.142,0.138,0.131,0.11,0.073,0.069,0.053,0.049,0.048,-0.0078,0.0761428571428571,0.7066666666666667,0.4254,2017
2017,"17,08",1133620.18,980285.6199999999,1979738.0599999998,22786015.619999997,38004470.699999996,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,94167.41999999998,6266716.8,3375026.9999999995,2204462.0799999996,317780.31999999995,2.7433333333333336,2.8266666666666667,2.4,2.7733333333333334,2.5333333333333337,2.893333333333333,2.97,2.5900000000000003,2.8233333333333337,2.7466666666666666,2.793333333333333,2.5166666666666666,2.69,1443.3333333333333,720.0,1320.0,1296.6666666666667,1406.6666666666667,1343.3333333333333,1206.6666666666667,1116.6666666666667,1276.6666666666667,1183.3333333333333,1066.6666666666667,1170.0,1063.3333333333333,115020284.0,25185681.82075156,105818133.126661,24510980.78654672,233130137.6984054,269082789.0993924,14894031.89021598,680088697.126078,187778.575,NetworkPrice,2017,0.373,0.096,0.045,0.083,0.042,0.015,0.016,0.016,0.285,0.113,0.065,0.03,0.069,0.066,0.03,0.022,0.024,0.016,0.015,0.017,0.1124,0.0271428571428571,0.1713333333333333,0.0344,2017
2018,"17,18",1217509.74,1296677.0399999998,2253906.92,25712983.479999997,43418125.12,43418125.12,10029524.68,4030587.8,587807202.42,94445.2,6578108.18,3451694.28,3709474.1199999996,321113.68,2.686666666666667,2.736666666666667,2.3366666666666664,2.69,2.476666666666667,2.8366666666666664,2.92,2.5300000000000002,2.763333333333333,2.6833333333333336,2.7266666666666666,2.4633333333333334,2.6366666666666667,1446.6666666666667,723.3333333333334,1343.3333333333333,1290.0,1426.6666666666667,1336.6666666666667,1213.3333333333333,1126.6666666666667,1280.0,1193.3333333333333,1066.6666666666667,1193.3333333333333,1073.3333333333333,116523338.0,20324544.945734058,107863786.6242936,23300762.01837248,227902334.543944,267488467.1572692,18685050.906362098,672082245.1653659,196865.025,TotalPrice,2018,1.227,0.808,0.709,0.755,0.67,0.408,0.303,0.297,-0.062,0.117,0.167,0.184,0.222,0.171,0.15,0.101,0.095,0.073,0.07,0.067,0.1256,0.1038571428571428,0.9146666666666668,0.4866,2018
