date,loadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HourlyMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,MinHourlyMeanWindspeed,Month,Year,Week,day_of_week,Population,TotalBiomass (MWh),TotalRes(incl.Stat.Transfer) (MWh),Totaal windenergie (MWh),TotalSolarEnergy (MWh),Total Including Non-Renewable (MWh),AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,GDP
2015-01-01,275667.0,-0.1,-0.1,3.0,10,4.7,5.4,8.0,4.0,1,2015,1,4,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-01,275667.0,-0.1,-0.1,3.0,10,4.7,5.4,8.0,4.0,1,2015,1,4,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-02,319026.0,4.3,1.7,7.3,44,10.1,6.1,9.0,4.0,1,2015,1,0,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-02,319026.0,4.3,1.7,7.3,44,10.1,6.1,9.0,4.0,1,2015,1,0,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-03,313131.0,1.5,0.5,3.8,26,5.9,3.3,5.0,1.0,1,2015,1,2,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-03,313131.0,1.5,0.5,3.8,26,5.9,3.3,5.0,1.0,1,2015,1,2,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-04,296832.0,-0.1,-0.1,3.9,-3,8.0,2.4,3.0,2.0,1,2015,1,3,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-04,296832.0,-0.1,-0.1,3.9,-3,8.0,2.4,3.0,2.0,1,2015,1,3,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-05,350937.0,0.0,0.0,2.4,9,3.8,3.0,5.0,1.0,1,2015,2,1,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-05,350937.0,0.0,0.0,2.4,9,3.8,3.0,5.0,1.0,1,2015,2,1,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
