index,date,loadConsumption,Year_x,Month_x,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_std_7,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month_y,Year_y,Week,WeekKey,day_of_week
13,2015-01-14,356626.0,2015,1,354202.0,349154.0,299899.0,314759.0,351488.0,356416.0,351363.0,340363.4285714286,23121.59638272657,1.9,0.6,1,4.4,31,20,6.0,14,5.8,9.0,6,4.0,16,1,2015,3,201503,Wednesday
14,2015-01-15,355354.0,2015,1,356626.0,354202.0,349154.0,299899.0,314759.0,351488.0,356416.0,340211.71428571426,23001.885348193282,8.0,1.5,12,7.9,58,1,10.3,10,7.9,11.0,10,5.0,13,1,2015,3,201503,Thursday
15,2015-01-16,348198.0,2015,1,355354.0,356626.0,354202.0,349154.0,299899.0,314759.0,351488.0,339741.71428571426,22765.471725944142,1.7,1.1,19,5.5,27,24,8.3,14,4.6,9.0,1,2.0,20,1,2015,3,201503,Friday
16,2015-01-17,314203.0,2015,1,348198.0,355354.0,356626.0,354202.0,349154.0,299899.0,314759.0,339662.28571428574,22867.903159335845,0.0,0.0,1,3.0,-9,8,5.9,12,3.8,6.0,14,2.0,1,1,2015,3,201503,Saturday
17,2015-01-18,304714.0,2015,1,314203.0,348198.0,355354.0,356626.0,354202.0,349154.0,299899.0,340350.14285714284,21504.254311093668,4.7,0.8,14,2.2,10,24,3.3,12,2.9,4.0,1,1.0,20,1,2015,3,201503,Sunday
18,2015-01-19,351809.0,2015,1,304714.0,314203.0,348198.0,355354.0,356626.0,354202.0,349154.0,340729.4285714286,21707.864257430938,-0.1,-0.1,1,1.0,5,24,1.6,12,1.2,2.0,20,1.0,1,1,2015,4,201504,Monday
19,2015-01-20,355552.0,2015,1,351809.0,304714.0,314203.0,348198.0,355354.0,356626.0,354202.0,340922.28571428574,21853.01775281304,0.0,0.0,1,0.8,-22,24,3.7,14,1.8,3.0,14,1.0,1,1,2015,4,201504,Tuesday
20,2015-01-21,357266.0,2015,1,355552.0,351809.0,304714.0,314203.0,348198.0,355354.0,356626.0,341013.71428571426,21930.869223648253,0.0,0.0,1,-0.5,-19,24,1.5,15,3.0,4.0,11,2.0,1,1,2015,4,201504,Wednesday
21,2015-01-22,359893.0,2015,1,357266.0,355552.0,351809.0,304714.0,314203.0,348198.0,355354.0,341662.14285714284,22485.619726309316,0.0,0.0,1,-1.2,-29,24,0.4,19,3.3,5.0,5,2.0,17,1,2015,4,201504,Thursday
22,2015-01-23,358488.0,2015,1,359893.0,357266.0,355552.0,351809.0,304714.0,314203.0,348198.0,343132.14285714284,23305.52261752975,0.0,0.0,1,-2.8,-57,5,-1.3,16,2.4,6.0,24,1.0,3,1,2015,4,201504,Friday
23,2015-01-24,318784.0,2015,1,358488.0,359893.0,357266.0,355552.0,351809.0,304714.0,314203.0,343786.5714285714,22404.69862816833,8.6,3.5,5,2.2,-17,1,6.8,15,3.3,6.0,1,1.0,10,1,2015,4,201504,Saturday
24,2015-01-25,302642.0,2015,1,318784.0,358488.0,359893.0,357266.0,355552.0,351809.0,304714.0,343490.5714285714,23012.38699669625,0.3,0.2,11,3.7,-21,2,5.6,15,2.6,4.0,20,1.0,1,1,2015,4,201504,Sunday
