Year,PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,GDP
2015,TotalPrice,2015 1e halfjaar,1.037,0.739,0.68,0.715,0.648,0.46,0.36,0.298,-0.025,0.156,0.199,0.209,0.263,0.22,0.173,0.11,0.099,0.086,0.086,0.081,0.1604,0.1221428571428571,0.8186666666666667,0.4962,174803.35
2015,TotalPrice,2015 2e halfjaar,1.312,0.784,0.678,0.719,0.67,0.379,0.312,0.265,-0.096,0.135,0.184,0.199,0.198,0.214,0.128,0.103,0.097,0.077,0.081,0.078,0.124,0.1111428571428571,0.9246666666666666,0.469,174803.35
2015,TotalPrice,2015,1.139,0.755,0.673,0.717,0.657,0.43,0.339,0.283,-0.06,0.146,0.192,0.204,0.218,0.217,0.151,0.106,0.098,0.081,0.084,0.079,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,174803.35
2016,TotalPrice,2016 1e halfjaar,1.063,0.762,0.698,0.75,0.684,0.453,0.303,0.214,-0.11,0.114,0.162,0.175,0.243,0.189,0.168,0.105,0.093,0.079,0.074,0.07,0.1167999999999999,0.1111428571428571,0.8409999999999999,0.4808,180082.35
2016,TotalPrice,2016 2e halfjaar,1.277,0.79,0.696,0.751,0.667,0.34,0.286,0.22,-0.106,0.112,0.159,0.173,0.202,0.179,0.123,0.097,0.093,0.071,0.071,0.071,0.108,0.1007142857142856,0.921,0.4528,180082.35
2016,TotalPrice,2016,1.142,0.771,0.696,0.749,0.676,0.407,0.295,0.217,-0.108,0.113,0.16,0.174,0.222,0.184,0.145,0.102,0.093,0.075,0.072,0.07,0.1122,0.1058571428571428,0.8696666666666667,0.4688,180082.35
2017,TotalPrice,2017 1e halfjaar,1.112,0.746,0.659,0.738,0.655,0.432,0.3,0.247,-0.117,0.106,0.156,0.173,0.225,0.196,0.165,0.1,0.094,0.074,0.067,0.066,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,187778.575
2017,TotalPrice,2017 2e halfjaar,1.328,0.795,0.68,0.743,0.645,0.318,0.271,0.238,-0.118,0.105,0.156,0.173,0.188,0.199,0.113,0.092,0.092,0.063,0.062,0.065,0.1008,0.0979999999999999,0.9343333333333336,0.4429999999999999,187778.575
2017,TotalPrice,2017,1.2,0.766,0.668,0.739,0.651,0.381,0.286,0.242,-0.118,0.106,0.156,0.172,0.207,0.197,0.14,0.095,0.093,0.069,0.064,0.065,0.1046,0.1032857142857143,0.878,0.4598,187778.575
2018,TotalPrice,2018 1e halfjaar,1.155,0.796,0.711,0.741,0.675,0.454,0.31,0.273,-0.026,0.126,0.171,0.185,0.24,0.166,0.173,0.105,0.094,0.077,0.068,0.065,0.1392,0.1068571428571428,0.8873333333333333,0.4906,196865.025
2018,TotalPrice,2018 2e halfjaar,1.336,0.826,0.705,0.777,0.664,0.351,0.296,0.307,-0.097,0.108,0.162,0.184,0.203,0.196,0.127,0.098,0.096,0.069,0.071,0.069,0.112,0.1037142857142857,0.9556666666666668,0.479,196865.025
2018,TotalPrice,2018,1.227,0.808,0.709,0.755,0.67,0.408,0.303,0.297,-0.062,0.117,0.167,0.184,0.222,0.171,0.15,0.101,0.095,0.073,0.07,0.067,0.1256,0.1038571428571428,0.9146666666666668,0.4866,196865.025
2019,TotalPrice,2019 1e halfjaar,1.272,0.902,0.821,0.842,0.754,0.457,0.308,0.264,0.078,0.181,0.205,0.211,0.267,0.222,0.165,0.114,0.105,0.085,0.076,0.073,0.1883999999999999,0.1199999999999999,0.9983333333333334,0.525,207444.7
2019,TotalPrice,2019 2e halfjaar,1.484,0.943,0.811,0.86,0.695,0.336,0.248,0.192,0.095,0.182,0.205,0.21,0.235,0.192,0.129,0.109,0.104,0.072,0.068,0.071,0.1853999999999999,0.1064285714285714,1.0793333333333333,0.4662,207444.7
2019,TotalPrice,2019,1.376,0.922,0.818,0.845,0.725,0.407,0.28,0.234,0.086,0.182,0.205,0.211,0.251,0.207,0.147,0.111,0.104,0.078,0.072,0.072,0.187,0.1129999999999999,1.0386666666666666,0.4981999999999999,207444.7
2020,TotalPrice,2020 1e halfjaar,1.392,0.979,0.881,0.933,0.803,0.461,0.284,0.223,-0.222,0.066,0.147,0.187,0.262,0.236,0.178,0.129,0.118,0.09,0.078,0.082,0.088,0.1301428571428571,1.084,0.5408,204174.875
2020,TotalPrice,2020 2e halfjaar,1.57,0.987,0.849,0.913,0.806,0.327,0.256,0.221,-0.274,0.049,0.136,0.179,0.233,0.233,0.139,0.125,0.119,0.076,0.076,0.07,0.0645999999999999,0.1197142857142856,1.1353333333333333,0.5046000000000002,204174.875
2020,TotalPrice,2020,1.463,0.982,0.868,0.919,0.805,0.386,0.271,0.222,-0.247,0.058,0.142,0.183,0.248,0.235,0.154,0.126,0.119,0.084,0.078,0.072,0.0768,0.1239999999999999,1.1043333333333334,0.5206000000000001,204174.875
2021,TotalPrice,2021 1e halfjaar,1.319,0.939,0.84,0.912,0.818,0.483,0.33,0.301,-0.282,0.038,0.128,0.174,0.264,0.243,0.184,0.136,0.128,0.099,0.082,0.082,0.0644,0.1362857142857142,1.0326666666666666,0.5688000000000001,222830.59999999998
2021,TotalPrice,2021 2e halfjaar,1.664,1.071,0.929,0.976,0.883,0.522,0.504,0.614,-0.272,0.055,0.145,0.19,0.257,0.258,0.161,0.15,0.154,0.105,0.094,0.127,0.075,0.1498571428571428,1.2213333333333332,0.6998,222830.59999999998
2021,TotalPrice,2021,1.451,0.99,0.875,0.938,0.848,0.502,0.406,0.437,-0.277,0.046,0.136,0.182,0.261,0.251,0.172,0.143,0.141,0.102,0.088,0.105,0.0696,0.1431428571428571,1.1053333333333333,0.6262000000000001,222830.59999999998
2022,TotalPrice,2022 1e halfjaar,1.665,1.265,1.173,1.261,1.072,0.901,0.758,0.966,-0.652,-0.104,0.059,0.149,0.262,0.225,0.239,0.208,0.21,0.187,0.172,0.185,-0.0572,0.2037142857142857,1.3676666666666666,0.9916,248426.55
2022,TotalPrice,2022 2e halfjaar,2.204,1.938,1.701,1.746,1.105,0.72,0.802,1.203,-0.519,-0.007,0.156,0.25,0.366,0.323,0.232,0.197,0.228,0.178,0.169,0.193,0.0492,0.2171428571428571,1.9476666666666669,1.1152,248426.55
2022,TotalPrice,2022,1.9,1.519,1.353,1.414,1.084,0.828,0.775,1.063,-0.585,-0.058,0.105,0.197,0.311,0.278,0.235,0.201,0.219,0.183,0.171,0.189,-0.006,0.2108571428571428,1.5906666666666665,1.0328,248426.55
2023,TotalPrice,2023 1e halfjaar,2.012,1.913,2.123,1.975,1.614,1.024,0.963,0.841,-0.05,0.235,0.371,0.471,0.61,0.526,0.353,0.29,0.304,0.266,0.289,0.268,0.3274,0.328,2.016,1.2834,266912.025
2023,TotalPrice,2023 2e halfjaar*,2.112,1.54,1.362,1.59,1.475,0.754,0.714,0.576,-0.045,0.179,0.266,0.303,0.361,0.379,0.287,0.251,0.278,0.217,0.291,0.237,0.2128,0.2771428571428571,1.6713333333333331,1.0218,266912.025
2023,TotalPrice,2023*,2.043,1.764,1.802,1.801,1.558,0.915,0.845,0.706,-0.047,0.206,0.317,0.384,0.485,0.453,0.321,0.269,0.291,0.239,0.29,0.25,0.269,0.3018571428571429,1.8696666666666664,1.1649999999999998,266912.025
2024,TotalPrice,2024 1e halfjaar*,1.924,1.588,1.417,1.594,1.467,0.849,0.736,0.555,-0.041,0.193,0.269,0.293,0.38,0.376,0.324,0.24,0.232,0.201,0.24,0.174,0.2187999999999999,0.2552857142857143,1.643,1.0402,281088.2
2015,DeliveryPrice,2015 1e halfjaar,0.783,0.666,0.647,0.652,0.609,0.448,0.348,0.286,-0.321,0.039,0.132,0.178,0.183,0.158,0.137,0.086,0.078,0.067,0.062,0.059,0.0421999999999999,0.0924285714285714,0.6986666666666667,0.4686,174803.35
2015,DeliveryPrice,2015 2e halfjaar,0.869,0.658,0.62,0.637,0.627,0.366,0.298,0.252,-0.389,0.019,0.118,0.169,0.119,0.153,0.092,0.079,0.076,0.058,0.058,0.056,0.0072,0.0817142857142857,0.7156666666666668,0.4359999999999999,174803.35
2015,DeliveryPrice,2015,0.816,0.663,0.631,0.646,0.616,0.418,0.326,0.27,-0.354,0.029,0.126,0.174,0.138,0.155,0.115,0.082,0.077,0.062,0.06,0.057,0.0226,0.0868571428571428,0.7033333333333335,0.4551999999999999,174803.35
2016,DeliveryPrice,2016 1e halfjaar,0.822,0.694,0.667,0.684,0.644,0.44,0.29,0.201,-0.402,-0.003,0.095,0.145,0.162,0.123,0.135,0.082,0.072,0.06,0.056,0.05,-0.0006,0.0825714285714285,0.7276666666666666,0.4518,180082.35
2016,DeliveryPrice,2016 2e halfjaar,0.857,0.672,0.642,0.671,0.625,0.325,0.27,0.205,-0.394,-0.004,0.093,0.143,0.121,0.115,0.091,0.075,0.072,0.052,0.053,0.051,-0.0082,0.0727142857142857,0.7236666666666666,0.4192,180082.35
2016,DeliveryPrice,2016,0.836,0.685,0.657,0.678,0.636,0.394,0.281,0.203,-0.398,-0.003,0.094,0.144,0.141,0.119,0.113,0.079,0.072,0.056,0.054,0.05,-0.0044,0.0775714285714285,0.726,0.4384,180082.35
2017,DeliveryPrice,2017 1e halfjaar,0.795,0.664,0.621,0.66,0.615,0.418,0.285,0.231,-0.4,-0.006,0.092,0.143,0.157,0.129,0.135,0.077,0.07,0.059,0.052,0.049,-0.0028,0.0815714285714285,0.6933333333333334,0.4417999999999999,187778.575
2017,DeliveryPrice,2017 2e halfjaar,0.875,0.678,0.625,0.652,0.6,0.302,0.254,0.222,-0.405,-0.008,0.091,0.142,0.119,0.134,0.083,0.07,0.068,0.047,0.047,0.048,-0.0122,0.071,0.726,0.406,187778.575
2017,DeliveryPrice,2017,0.827,0.67,0.623,0.656,0.609,0.366,0.27,0.226,-0.403,-0.007,0.091,0.142,0.138,0.131,0.11,0.073,0.069,0.053,0.049,0.048,-0.0078,0.0761428571428571,0.7066666666666667,0.4254,187778.575
2018,DeliveryPrice,2018 1e halfjaar,0.832,0.703,0.676,0.66,0.633,0.439,0.297,0.255,-0.364,0.009,0.104,0.154,0.171,0.089,0.144,0.082,0.072,0.062,0.053,0.049,0.0148,0.0787142857142857,0.737,0.4568,196865.025
2018,DeliveryPrice,2018 2e halfjaar,0.942,0.715,0.662,0.678,0.615,0.335,0.28,0.293,-0.394,0.005,0.104,0.157,0.135,0.123,0.1,0.076,0.075,0.054,0.056,0.054,0.0013999999999999,0.0768571428571428,0.773,0.4402,196865.025
2018,DeliveryPrice,2018,0.876,0.708,0.67,0.667,0.625,0.393,0.289,0.283,-0.38,0.007,0.104,0.155,0.153,0.096,0.122,0.079,0.074,0.058,0.055,0.052,0.0077999999999999,0.0765714285714285,0.7513333333333333,0.4514,196865.025
2019,DeliveryPrice,2019 1e halfjaar,0.97,0.815,0.788,0.778,0.714,0.443,0.296,0.252,-0.222,0.065,0.137,0.18,0.196,0.144,0.134,0.091,0.085,0.07,0.064,0.058,0.0712,0.0922857142857143,0.8576666666666667,0.4965999999999999,207444.7
2019,DeliveryPrice,2019 2e halfjaar,1.05,0.815,0.762,0.755,0.651,0.32,0.234,0.178,-0.207,0.065,0.136,0.179,0.166,0.125,0.098,0.086,0.084,0.057,0.056,0.056,0.0678,0.0802857142857143,0.8756666666666666,0.4276000000000001,207444.7
2019,DeliveryPrice,2019,1.005,0.815,0.777,0.768,0.683,0.392,0.267,0.222,-0.215,0.065,0.137,0.18,0.181,0.135,0.116,0.088,0.084,0.063,0.06,0.057,0.0696,0.0861428571428571,0.8656666666666667,0.4664,207444.7
2020,DeliveryPrice,2020 1e halfjaar,1.035,0.878,0.844,0.838,0.763,0.447,0.272,0.211,-0.535,-0.06,0.072,0.153,0.192,0.159,0.145,0.106,0.099,0.075,0.066,0.059,-0.0356,0.1012857142857142,0.919,0.5062,204174.875
2020,DeliveryPrice,2020 2e halfjaar,1.102,0.852,0.799,0.802,0.763,0.311,0.24,0.205,-0.577,-0.073,0.064,0.147,0.162,0.159,0.107,0.101,0.099,0.06,0.062,0.058,-0.0553999999999999,0.0922857142857143,0.9176666666666669,0.4641999999999999,204174.875
2020,DeliveryPrice,2020,1.061,0.867,0.826,0.818,0.763,0.371,0.257,0.208,-0.555,-0.066,0.068,0.15,0.178,0.159,0.121,0.103,0.099,0.069,0.064,0.059,-0.0449999999999999,0.0962857142857142,0.918,0.4834,204174.875
2021,DeliveryPrice,2021 1e halfjaar,0.994,0.843,0.804,0.819,0.776,0.47,0.316,0.287,-0.595,-0.089,0.052,0.14,0.185,0.154,0.148,0.11,0.105,0.08,0.064,0.061,-0.0613999999999999,0.1031428571428571,0.8803333333333333,0.5336,222830.59999999998
2021,DeliveryPrice,2021 2e halfjaar,1.19,0.931,0.877,0.857,0.837,0.507,0.489,0.597,-0.593,-0.075,0.068,0.155,0.176,0.162,0.125,0.124,0.132,0.087,0.075,0.107,-0.0537999999999999,0.1159999999999999,0.9993333333333334,0.6574,222830.59999999998
2021,DeliveryPrice,2021,1.065,0.876,0.833,0.835,0.805,0.488,0.392,0.422,-0.594,-0.082,0.06,0.148,0.18,0.158,0.136,0.117,0.119,0.084,0.069,0.085,-0.0575999999999999,0.1097142857142857,0.9246666666666666,0.5884,222830.59999999998
2022,DeliveryPrice,2022 1e halfjaar,1.293,1.165,1.136,1.148,1.03,0.887,0.745,0.946,-1.031,-0.258,-0.032,0.109,0.203,0.121,0.199,0.18,0.185,0.166,0.153,0.163,-0.2017999999999999,0.1667142857142857,1.1980000000000002,0.9512,248426.55
2022,DeliveryPrice,2022 2e halfjaar,1.737,1.812,1.656,1.632,1.061,0.706,0.788,1.178,-0.783,-0.114,0.093,0.222,0.325,0.231,0.197,0.171,0.206,0.16,0.153,0.174,-0.0514,0.1845714285714285,1.735,1.073,248426.55
2022,DeliveryPrice,2022,1.488,1.408,1.313,1.3,1.041,0.814,0.762,1.041,-0.899,-0.186,0.029,0.164,0.262,0.18,0.198,0.175,0.196,0.163,0.153,0.168,-0.126,0.1761428571428571,1.4029999999999998,0.9916,248426.55
2023,DeliveryPrice,2023 1e halfjaar,1.653,1.795,2.083,1.82,1.546,1.005,0.941,0.807,-0.45,0.066,0.27,0.427,0.538,0.413,0.297,0.249,0.267,0.237,0.257,0.236,0.1702,0.2794285714285714,1.8436666666666668,1.2238000000000002,266912.025
2023,DeliveryPrice,2023 2e halfjaar*,1.518,1.344,1.295,1.423,1.401,0.735,0.693,0.54,-0.457,0.005,0.162,0.258,0.286,0.269,0.233,0.216,0.241,0.189,0.259,0.211,0.0507999999999999,0.2311428571428571,1.3856666666666666,0.9584,266912.025
