Year,Month,Gross production (MWh),"Net production/Net production, total (MWh)",Net production/Nuclear energy (MWh),"Net production/Fuels/Fuels, total (MWh)",Net production/Fuels/Coal (MWh),Net production/Fuels/Petroleum products (MWh),Net production/Fuels/Natural gas (MWh),Net production/Fuels/Biomass (MWh),Net production/Fuels/Other fuels (non-renewable) (MWh),Net production/Hydro power (MWh),"Net production/Wind energy/Wind energy, total (MWh)",Net production/Wind energy/Wind energy on shore (MWh),Net production/Wind energy/Wind energy off shore (MWh),Net production/Solar photovoltaic (MWh),Net production/Other sources (MWh),"Imports/Imports, total (MWh)","Exports/Exports, total (MWh)",Net consumption (calculated) (MWh),NAO,loadConsumption
2015,1,10700000,10301000,364000.0,8918000,3771000,96000,4605000,349000,98000,9000,870000,773000,98000,28000,111000,2432000,1979000,10263000,1.79,10461546.0
2015,2,9695000,9328000,329000.0,8310000,3348000,79000,4464000,328000,91000,12000,504000,440000,65000,58000,116000,2371000,2110000,9150000,1.32,9287981.0
2015,3,9642000,9302000,363000.0,8038000,3249000,49000,4257000,366000,118000,13000,684000,605000,79000,86000,118000,2729000,2151000,9427000,1.45,9705907.0
2015,4,8602000,8216000,345000.0,7211000,3604000,53000,3099000,342000,113000,12000,420000,376000,44000,133000,94000,2414000,1805000,8410000,0.73,8840250.0
2015,5,7585000,7248000,132000.0,6295000,2982000,97000,2730000,361000,125000,10000,564000,499000,65000,152000,94000,2782000,1094000,8520000,0.15,8979304.0
2015,6,7312000,6977000,229000.0,6105000,2747000,115000,2765000,353000,124000,5000,420000,352000,68000,120000,97000,3259000,1377000,8451000,-0.07,8924086.0
2015,7,8468000,8102000,329000.0,6938000,3317000,136000,2982000,370000,134000,2000,572000,471000,100000,142000,120000,2619000,1473000,8821000,-3.18,9294847.0
2015,8,8010000,7667000,353000.0,6665000,2988000,145000,3035000,367000,130000,2000,395000,312000,83000,136000,115000,2892000,1478000,8677000,-0.76,9051282.0
2015,9,9367000,8975000,345000.0,7891000,3801000,123000,3491000,353000,124000,4000,531000,428000,103000,125000,78000,2583000,2335000,8808000,-0.65,9148316.0
2015,10,10352000,9936000,360000.0,9091000,3783000,158000,4649000,381000,120000,3000,312000,238000,73000,65000,106000,2551000,2622000,9413000,0.44,9674146.0
