Periods,Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)
1995,469502
1996,485928
1997,506964
1998,530609
1999,557320
2000,580703
2001,594216
2002,595507
2003,596434
2004,608273
2005,620748
2006,642232
2007,666462
2008,680926
2009,655958
2010,664765
2011,675077
2012,668121
2013,667252
2014,676749
2015,690008
2016,705131
2017,725657
2018,742789
2019,757315
2020,727885
2021,772954
2022*,806415
2023*,807350
1995,329547
1996,344625
1997,369046
1998,394295
1999,419459
2000,452007
2001,481881
2002,501137
2003,512810
2004,529286
2005,550883
2006,584546
2007,619170
2008,647198
2009,624842
2010,639187
2011,650359
2012,652966
2013,660463
2014,671560
2015,690008
2016,708337
2017,738146
2018,773987
2019,813055
2020,796530
2021,870587
2022*,958549
2023*,1034086
