Year,Commercial and public services (PJ),"Electricity, CHP and heat plants (PJ)",Exports (PJ),Imports (PJ),Industry (PJ),"Oil refineries, transformation (PJ)",Other final consumption (PJ),Production (PJ),Residential (PJ),Total energy supply (PJ),Total final consumption (PJ),Transport (PJ)
2006,124.6572012,355.7987983,-21.1932006,98.44560167,149.4327703,0,20.68200069,0,79.49159801,77.25240107,380.0739694,5.810399172
2007,127.5011982,378.5976032,-19.72800063,83.12039805,151.8407748,0,22.67279897,0,80.16480195,63.3924016,387.9035743,5.724000367
2008,129.2003984,387.1872044,-32.81759959,89.88120082,150.7736558,0,23.50080148,0,81.00359802,57.06360123,390.3248551,5.846401465
2009,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776
2010,132.3576015,429.3684022,-46.10880135,56.09879922,140.7673712,0,25.2864005,0,82.77839929,9.990002063,387.5113716,6.321599078
2011,132.8795991,410.2668012,-41.51159865,74.23200168,140.4384479,0,25.41599871,0,82.95480174,32.72039884,387.9564494,6.267601919
2012,130.0665092,371.6424031,-54.16510471,115.7606029,125.8536338,0,28.80140332,0,84.10798462,61.59549822,375.1763345,6.346799428
2013,130.6170943,365.8679979,-54.0539996,119.707202,125.2461123,0,30.12405112,0,84.09945192,65.65319824,376.386709,6.299999377
2014,128.1239386,372.0924046,-65.26079878,118.2780002,119.425041,0,29.76916958,0,82.18549817,53.01720138,365.6812457,6.177598279
2015,130.7640803,396.7667996,-79.24275973,110.7360326,123.7866985,0,32.32799939,0,79.85499969,31.49327289,373.2362886,6.502510706
2016,130.346807,414.568801,-69.63571589,87.32745379,128.1211293,0,32.19074352,0,79.15913259,17.69173789,376.7342888,6.916480556
2017,131.8948973,421.8038594,-68.22540906,80.84777789,128.9448864,0,34.3962744,0,78.51944398,12.62236883,380.9449745,7.189472477
2018,133.0378853,411.7669652,-67.62479167,96.31652176,130.8731883,0,38.88073076,0,77.72773266,28.69173009,388.3093212,7.789784234
2019,131.0496284,437.080492,-70.37143295,73.45028007,128.6775048,0,41.58462063,0,77.73784378,3.078847116,387.5045429,8.454949524
2020,128.5470357,443.8012689,-80.75819293,71.18381869,128.6011626,0,38.35901361,0,79.07535891,-9.57437424,382.86327,8.280703282
2021,129.5704529,439.5352128,-74.27680463,75.18742525,127.2935036,0,36.85736336,0,80.89128711,0.9106206264,384.3208165,9.708213676
2022,132.7404676,438.5157647,-82.11904528,66.76001231,123.2431598,0,25.07613522,0,80.52893632,-15.35903297,373.6288555,12.04015661
