PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,Total_Elec_Household,Total_Elec_NonHousehold,Total_NGs_Household,Total_NG_NonHousehold
TotalPrice,2009 1e halfjaar,1.057,0.791,0.722,0.752,0.662,0.459,0.374,0.276,-0.103,0.144,0.198,0.216,0.257,0.212,0.187,0.132,0.118,0.108,0.104,0.08,0.712,0.941,2.57,2.5230000000000006
TotalPrice,2009 2e halfjaar,1.031,0.658,0.572,0.622,0.612,0.407,0.33,0.24,-0.117,0.136,0.19,0.209,0.205,0.211,0.147,0.127,0.116,0.099,0.094,0.072,0.623,0.8659999999999999,2.261,2.2110000000000003
TotalPrice,2009,1.045,0.735,0.656,0.706,0.644,0.435,0.352,0.255,-0.11,0.14,0.195,0.213,0.232,0.211,0.167,0.129,0.117,0.104,0.098,0.076,0.67,0.9019999999999999,2.436,2.392
TotalPrice,2010 1e halfjaar,0.943,0.664,0.593,0.621,0.545,0.39,0.296,0.226,-0.142,0.12,0.177,0.196,0.237,0.211,0.175,0.12,0.106,0.091,0.087,0.074,0.588,0.8639999999999999,2.2,2.0780000000000003
TotalPrice,2010 2e halfjaar,1.06,0.703,0.608,0.621,0.59,0.36,0.302,0.256,-0.131,0.125,0.179,0.197,0.189,0.198,0.134,0.115,0.106,0.085,0.086,0.076,0.5589999999999999,0.7999999999999999,2.371,2.1289999999999996
TotalPrice,2010,0.994,0.681,0.599,0.623,0.565,0.377,0.299,0.241,-0.137,0.123,0.178,0.197,0.216,0.204,0.154,0.118,0.106,0.088,0.087,0.075,0.577,0.8319999999999999,2.274,2.105
TotalPrice,2011 1e halfjaar,0.955,0.674,0.627,0.612,0.57,0.417,0.323,0.287,-0.123,0.128,0.18,0.196,0.244,0.182,0.166,0.117,0.103,0.089,0.087,0.076,0.625,0.8199999999999998,2.2560000000000002,2.209
TotalPrice,2011 2e halfjaar,1.17,0.768,0.687,0.685,0.61,0.376,0.316,0.298,-0.126,0.127,0.18,0.197,0.195,0.183,0.129,0.113,0.104,0.084,0.089,0.078,0.573,0.7799999999999999,2.625,2.2849999999999997
TotalPrice,2011,1.045,0.713,0.653,0.644,0.588,0.4,0.319,0.292,-0.125,0.128,0.18,0.196,0.219,0.182,0.148,0.116,0.104,0.087,0.088,0.077,0.598,0.8019999999999998,2.411,2.243
TotalPrice,2012 1e halfjaar,1.001,0.724,0.667,0.689,0.606,0.439,0.346,0.311,-0.116,0.134,0.185,0.2,0.254,0.194,0.171,0.116,0.101,0.087,0.083,0.07,0.657,0.8219999999999998,2.392,2.391
TotalPrice,2012 2e halfjaar,1.235,0.825,0.723,0.744,0.621,0.411,0.357,0.321,-0.131,0.134,0.187,0.201,0.209,0.193,0.131,0.115,0.104,0.086,0.084,0.076,0.6,0.7889999999999999,2.783,2.454
TotalPrice,2012,1.095,0.763,0.689,0.708,0.612,0.426,0.351,0.316,-0.123,0.134,0.186,0.201,0.232,0.194,0.151,0.115,0.102,0.087,0.084,0.073,0.63,0.8059999999999998,2.547,2.4129999999999994
