Year,Month,NAO
2006,1,1.27
2007,1,0.22
2008,1,0.89
2009,1,-0.01
2010,1,-1.11
2011,1,-0.88
2012,1,1.17
2013,1,0.35
2014,1,0.29
2015,1,1.79
2016,1,0.12
2017,1,0.48
2018,1,1.44
2019,1,0.59
2020,1,1.34
2021,1,-1.11
2022,1,1.08
2023,1,1.25
2024,1,0.21
2006,2,-0.51
2007,2,-0.47
2008,2,0.73
2009,2,0.06
2010,2,-1.98
2011,2,0.7
2012,2,0.42
2013,2,-0.45
2014,2,1.34
2015,2,1.32
2016,2,1.58
2017,2,1.0
2018,2,1.58
2019,2,0.29
2020,2,1.26
2021,2,0.14
2022,2,1.68
2023,2,0.92
2024,2,1.09
2006,3,-1.28
2007,3,1.44
2008,3,0.08
2009,3,0.57
2010,3,-0.88
2011,3,0.61
2012,3,1.27
2013,3,-1.61
2014,3,0.8
2015,3,1.45
2016,3,0.73
2017,3,0.74
2018,3,-0.93
2019,3,1.23
2020,3,1.01
2021,3,0.73
2022,3,0.77
2023,3,-1.11
2024,3,-0.21
2006,4,1.24
2007,4,0.17
2008,4,-1.07
2009,4,-0.2
2010,4,-0.72
2011,4,2.48
2012,4,0.47
2013,4,0.69
2014,4,0.31
2015,4,0.73
2016,4,0.38
2017,4,1.73
2018,4,1.24
2019,4,0.47
2020,4,-1.02
2021,4,-1.43
2022,4,-0.36
2023,4,-0.63
2024,4,-0.78
2006,5,-1.14
2007,5,0.66
2008,5,-1.73
2009,5,1.68
2010,5,-1.49
2011,5,-0.06
2012,5,-0.91
2013,5,0.57
2014,5,-0.92
2015,5,0.15
2016,5,-0.77
2017,5,-1.91
2018,5,2.12
2019,5,-2.62
2020,5,-0.41
2021,5,-1.24
2022,5,0.71
2023,5,0.39
2024,5,-0.44
2006,6,0.84
2007,6,-1.31
2008,6,-1.39
2009,6,-1.21
2010,6,-0.82
2011,6,-1.28
2012,6,-2.53
2013,6,0.52
2014,6,-0.97
2015,6,-0.07
2016,6,-0.43
2017,6,0.05
2018,6,1.09
2019,6,-1.09
2020,6,-0.15
2021,6,0.77
2022,6,-0.12
2023,6,-0.58
2024,6,-0.09
2006,7,0.9
2007,7,-0.58
2008,7,-1.27
2009,7,-2.15
2010,7,-0.42
2011,7,-1.51
2012,7,-1.32
2013,7,0.67
2014,7,0.18
2015,7,-3.18
2016,7,-1.76
2017,7,1.26
2018,7,1.39
2019,7,-1.43
2020,7,-1.23
2021,7,0.03
2022,7,-0.09
2023,7,-2.17
2024,7,1.46
2006,8,-1.73
2007,8,-0.14
2008,8,-1.16
2009,8,-0.19
2010,8,-1.22
2011,8,-1.35
2012,8,-0.98
2013,8,0.97
2014,8,-1.68
2015,8,-0.76
2016,8,-1.65
2017,8,-1.1
2018,8,1.97
2019,8,-1.17
2020,8,0.12
2021,8,-0.28
2022,8,1.47
2023,8,-1.16
2024,8,0.63
2006,9,-1.62
2007,9,0.72
2008,9,1.02
2009,9,1.51
2010,9,-0.79
2011,9,0.54
2012,9,-0.59
2013,9,0.24
2014,9,1.62
2015,9,-0.65
2016,9,0.61
2017,9,-0.61
2018,9,1.67
2019,9,-0.16
2020,9,0.98
2021,9,-0.21
2022,9,-1.61
2023,9,-0.44
2024,9,-1.43
2006,10,-2.24
2007,10,0.45
2008,10,-0.04
2009,10,-1.03
2010,10,-0.93
2011,10,0.39
2012,10,-2.06
2013,10,-1.28
2014,10,-1.27
2015,10,0.44
2016,10,0.41
2017,10,0.19
2018,10,0.93
2019,10,-1.41
2020,10,-0.65
2021,10,-2.29
2022,10,-0.72
2023,10,-2.03
2024,10,-0.38
2006,11,0.44
2007,11,0.58
2008,11,-0.32
2009,11,-0.02
2010,11,-1.62
2011,11,1.36
2012,11,-0.58
2013,11,0.9
2014,11,0.68
2015,11,1.74
2016,11,-0.16
2017,11,-0.0
2018,11,-0.11
2019,11,0.28
2020,11,2.54
2021,11,-0.18
2022,11,0.69
2023,11,-0.32
2024,11,-0.23
2006,12,1.34
2007,12,0.34
2008,12,-0.28
2009,12,-1.93
2010,12,-1.85
2011,12,2.52
2012,12,0.17
2013,12,0.95
2014,12,1.86
2015,12,2.24
2016,12,0.48
2017,12,0.88
2018,12,0.61
2019,12,1.2
2020,12,-0.3
2021,12,0.29
2022,12,-0.15
2023,12,1.94
2024,12,1.21
