Date,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month,Year,Week,WeekKey,day_of_week
2006-01-01,0.0,0.0,1,4.0,23,7,5.3,13,2.4,4.0,1,1.0,15,1,2006,52,200652,Sunday
2006-01-02,-0.1,-0.1,10,1.5,-35,24,5.6,14,1.3,3.0,14,0.0,4,1,2006,1,200601,Monday
2006-01-03,-0.1,-0.1,20,-0.2,-45,8,4.5,12,1.6,3.0,19,1.0,1,1,2006,1,200601,Tuesday
2006-01-04,-0.1,-0.1,1,1.6,-5,24,3.8,13,2.9,5.0,21,1.0,3,1,2006,1,200601,Wednesday
2006-01-05,0.0,0.0,1,0.7,-13,7,1.9,20,4.6,6.0,3,3.0,8,1,2006,1,200601,Thursday
2006-01-06,0.0,0.0,1,1.9,14,6,2.6,13,3.8,5.0,3,3.0,8,1,2006,1,200601,Friday
2006-01-07,0.0,0.0,1,2.0,11,8,4.0,13,3.4,4.0,1,3.0,2,1,2006,1,200601,Saturday
2006-01-08,0.0,0.0,1,1.9,-4,24,3.9,14,3.2,4.0,4,3.0,1,1,2006,1,200601,Sunday
2006-01-09,0.0,0.0,1,-0.6,-27,8,2.8,13,2.3,3.0,1,2.0,6,1,2006,2,200602,Monday
2006-01-10,0.0,0.0,1,2.2,-14,1,4.9,17,3.9,6.0,17,2.0,1,1,2006,2,200602,Tuesday
2006-01-11,4.7,1.3,10,3.6,13,24,5.3,15,4.4,6.0,3,1.0,22,1,2006,2,200602,Wednesday
2006-01-12,0.0,0.0,1,1.9,-8,5,4.3,15,2.5,5.0,17,0.0,3,1,2006,2,200602,Thursday
2006-01-13,0.0,0.0,1,1.2,-10,24,3.9,14,3.4,4.0,12,2.0,1,1,2006,2,200602,Friday
2006-01-14,0.0,0.0,1,1.0,-14,6,4.6,14,3.5,4.0,1,3.0,3,1,2006,2,200602,Saturday
2006-01-15,0.0,0.0,1,-1.6,-34,24,1.2,14,3.2,4.0,13,2.0,6,1,2006,2,200602,Sunday
