Country,Product,Flow,NoCountry,NoProduct,NoFlow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
Netherlands,"Coal, peat and oil shale",Production (PJ),26. Netherlands,"01. Coal, peat and oil shale",01. Production (PJ),98.70036008,76.51553683,47.56863384,20.8324073,0,0,0,0,0,0,0,0,0,2.997112406,2.737200049,2.086776482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,"Coal, peat and oil shale",Imports (PJ),26. Netherlands,"01. Coal, peat and oil shale",02. Imports (PJ),118.914938,106.8635608,122.9628116,132.2572648,117.4473265,129.7362879,132.2781695,148.0574065,192.2228878,214.6600453,264.2132391,253.4086365,228.0429422,326.2776171,336.4228406,354.1726745,367.1044981,414.7905968,396.5739849,389.6353938,367.9539998,370.1616031,361.1261999,398.6440979,409.4291356,386.1334999,392.7625901,396.2499601,328.9635791,340.1960015,371.5611457,368.12336,373.0431264,369.3992832,354.3008534,348.0580666,372.143404,341.3108458,310.6443487,324.731189,316.0489088,340.9651627,341.2668551,405.1506866,451.8392048,430.540882,392.4613331,346.8030189,277.1798466,165.9920416,234.8366658,240.8347425,176.0125068
Netherlands,"Coal, peat and oil shale",Exports (PJ),26. Netherlands,"01. Coal, peat and oil shale",03. Exports (PJ),-65.99932937,-68.28917821,-58.39432118,-42.47256555,-20.18654734,-30.53784094,-32.72446004,-33.22963933,-46.3749646,-59.09623401,-49.94588213,-37.47628545,-41.89402934,-59.98395703,-64.34901841,-87.62657971,-72.78088192,-74.92979052,-52.97045576,-24.75020121,-32.16020082,-34.63969914,-27.34369772,-29.22470136,-32.65549926,-27.56109731,-31.01490168,-34.19329834,-24.81800225,-16.8093028,-23.94240002,-21.03599882,-17.54219796,-10.90849806,-11.12560039,-22.33190134,-17.76679884,-10.20599907,-4.824596178,-4.63699823,-1.741700426,-3.321698263,-9.272497586,-18.30620103,-3.545198021,-2.228034928,-3.683990441,-1.516517575,-2.460666096,-7.880633608,-1.477182589,-4.559119564,-13.80805803
Netherlands,"Coal, peat and oil shale",Total energy supply (PJ),26. Netherlands,"01. Coal, peat and oil shale",04. Total energy supply (PJ),141.59771,118.6727819,119.9975482,121.0143252,92.83407131,97.38488845,100.1927073,122.469929,138.4955047,158.7225007,191.4473543,155.757028,217.1328699,275.7844155,276.5879504,276.9227729,283.9806417,339.4588986,340.9933315,366.8952921,335.6512971,335.3358007,336.5724935,367.1393951,373.9109537,361.3894533,351.8567042,358.1505699,312.5404374,325.3576222,346.4102049,348.1813595,359.5048364,354.8779284,338.8804587,330.0668553,352.10105,333.849583,312.4135815,315.7356608,311.4709863,341.2872072,340.142917,377.0963549,464.2648652,430.2382685,385.7200785,345.9191226,268.9442101,172.0312577,234.3228868,231.346587,158.4304421
Netherlands,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",26. Netherlands,"01. Coal, peat and oil shale","05. Electricity, CHP and heat plants (PJ)",-44.24825023,-37.30235322,-33.01257468,-26.35782355,-19.79599845,-41.48540184,-51.9490524,-57.96784954,-46.06527537,-75.90354809,-100.6491689,-132.211859,-140.1248858,-158.4518995,-155.3414211,-168.0218064,-183.2484988,-232.3506026,-229.7355901,-252.3486141,-229.3693037,-230.8826016,-225.7331726,-253.6545608,-265.9033331,-252.8229786,-239.8949105,-251.9965838,-213.2697723,-232.797489,-248.9977087,-250.4240091,-256.9364342,-248.6940234,-234.5339392,-226.6231188,-242.9004175,-229.6487684,-226.7241086,-221.2468489,-209.0849904,-238.5016482,-246.3177004,-281.5559654,-363.0415185,-329.0099604,-282.2405114,-246.0685774,-170.2401279,-86.49179781,-142.6640293,-143.8032702,..
Netherlands,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",26. Netherlands,"01. Coal, peat and oil shale","06. Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Netherlands,"Coal, peat and oil shale",Total final consumption (PJ),26. Netherlands,"01. Coal, peat and oil shale",07. Total final consumption (PJ),52.28801992,45.52910121,45.35261084,40.03464215,29.19293611,30.32364006,27.88707738,31.37677099,36.67964626,32.45926394,32.47741791,36.50846476,35.95098397,47.20299222,48.46565155,46.01664988,50.73491808,52.8900985,56.8363501,52.20707651,39.8774613,35.28402254,35.53491653,35.13826747,31.41472852,32.46701371,37.50085778,31.60478412,28.48125547,24.71341599,24.12161599,24.42268459,25.98006115,24.98691451,23.48875605,23.59963089,25.55133702,20.81172451,22.08390462,18.66907518,21.34480882,24.60049799,21.11868812,19.69721928,21.39993641,23.87010654,26.88097259,23.46226198,24.89665129,18.45291488,17.13987997,18.66136309,..
Netherlands,"Coal, peat and oil shale",Industry (PJ),26. Netherlands,"01. Coal, peat and oil shale",08. Industry (PJ),29.04741131,28.01169329,31.98019354,31.25064783,24.65481753,27.31131283,24.87238878,28.56491192,33.61633636,29.01292046,29.40331443,33.85482486,33.2937811,45.10697128,44.52717903,41.80217513,46.82820663,49.47019047,48.82110668,40.2226839,29.10036177,24.75942892,25.08932364,25.24777308,20.92943639,21.22117261,27.00220557,22.68488627,21.0515486,18.17434614,17.97098489,18.60556561,19.77110793,18.55939776,17.22224689,17.51768424,18.87891759,13.57240818,16.15003672,12.87736588,15.38226971,18.894459,15.97000432,17.17934475,17.6263652,20.37250407,23.47955347,19.942997,21.69395863,15.50334777,14.99157428,17.15035953,..
Netherlands,"Coal, peat and oil shale",Transport (PJ),26. Netherlands,"01. Coal, peat and oil shale",09. Transport (PJ),0.2600798292,0.2600798292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Netherlands,"Coal, peat and oil shale",Residential (PJ),26. Netherlands,"01. Coal, peat and oil shale",10. Residential (PJ),20.74497854,15.80201734,9.900915332,6.274790654,3.069234223,2.071067609,1.915017199,1.812599698,1.711898784,1.929779856,2.048735218,1.791242831,1.8995386,1.089216954,1.589409763,2.235592102,1.872081565,1.283145343,0.9108550872,0.644599728,0.4980994092,0.4395009564,0.41020173,0.2930006376,0.234397998,0.322299864,0.283697568,0.2050987716,0.1757995452,0.087901866,0.0785987964,0.0785987964,0.0785987964,0.04929957,0.04929957,0.04929957,0.0600010308,0.2650998024,0.0800013744,0.0800013744,0.0800013744,0.0800013744,0.0400006872,0.0264480156,0.0227092032,0.0451295172,0.0471601152,0.04239135,0.0469214676,0.0144402732,0.015847038,0.003056364,..
Netherlands,"Coal, peat and oil shale",Commercial and public services (PJ),26. Netherlands,"01. Coal, peat and oil shale",11. Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2837017548,0.1957998888,0.1665006624,0.3372006852,0.04929957,0.0200003436,0,0.0200003436,0.0200003436,0.0200003436,0.0200003436,0.0200003436,0.0200003436,0.0400006872,0.0200003436,0.0400006872,0.0400006872,0.100001718,0.1399982184,0.159998562,0.159998562,0.159998562,0.159998562,0.100001718,0.0400006872,0.1996140636,0.2347999308,0.2351181276,0.2232234288,0.1567412316,0.1820169432,0.1176783876,0.2543983416,..
Netherlands,"Coal, peat and oil shale",Other final consumption (PJ),26. Netherlands,"01. Coal, peat and oil shale",12. Other final consumption (PJ),2.235550234,1.455310746,3.471501967,2.509203668,1.468884352,0.9412638156,1.099667207,0.999263556,1.351415304,1.51656363,1.025372441,0.8624012508,0.7576726356,1.006803983,2.349062755,1.978882646,2.034629888,2.136762688,7.104388327,11.05609951,10.08320023,9.918600376,9.69819885,9.548202553,10.23089797,10.92354123,10.19495011,8.694790362,7.233906985,6.431167634,6.052027774,5.718524033,6.090353741,6.358212644,6.177213094,5.992642202,6.512412488,6.834209936,5.693867968,5.551713547,5.722539174,5.466039059,5.008685587,2.451430015,3.55125632,3.21767303,3.119136692,3.253658576,2.999038334,2.753101516,2.01478027,1.253548854,..
Netherlands,"Crude, NGL and feedstocks",Production (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",01. Production (PJ),73.1895136,69.9534982,66.52589064,67.40216276,67.36871861,66.2430723,68.51678103,65.05880243,67.8545172,67.32927895,68.91294861,81.20953834,124.2368884,147.0225007,174.1933296,213.7682276,199.5979905,182.8462101,163.4110929,172.8667337,164.7797536,148.5642647,147.330444,193.1580306,156.9774215,140.2029194,135.6483677,123.3464984,119.4117982,111.116102,105.0950021,138.4264016,141.764801,128.7341982,106.6084005,94.60759979,117.8716,98.46569831,80.44239935,68.50200163,68.73070139,70.80369912,72.63740029,87.42550027,85.31192827,66.08253365,61.60719195,61.96324998,46.80393994,43.86598283,46.77699788,29.71761751,26.92743351
Netherlands,"Crude, NGL and feedstocks",Imports (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",02. Imports (PJ),2593.317134,2894.615389,3081.346862,2757.844084,2358.162723,2727.825281,2516.327228,2377.8079,2536.846392,2131.500102,1640.549704,1591.003686,1719.468816,1909.396575,1702.889192,2009.414387,2059.719153,2193.791999,2186.704132,2102.156378,2252.985019,2400.71552,2399.298531,2419.360199,2578.982707,2634.553994,2604.45779,2653.472917,2523.98149,2567.946009,2595.586178,2358.411905,2478.098097,2591.487921,2643.550812,2576.8307,2514.744115,2504.44169,2496.661808,2591.137197,2463.57722,2482.21602,2357.45278,2343.047994,2340.594935,2507.438421,2410.540131,2361.539963,2704.209493,2432.387419,2494.932722,2657.773824,2681.073186
Netherlands,"Crude, NGL and feedstocks",Exports (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",03. Exports (PJ),-0.0427011732,0,0,-0.3843105588,-0.2562070392,-0.0427011732,-0.0854023464,0,-1.140103321,-1.011999802,-2.023999603,-1.80400001,-9.592800347,-19.80450184,-61.92944157,-54.20575435,-39.643415,-37.96638388,-43.46961847,-74.47803061,-60.9157838,-51.42197615,-48.62543658,-81.40254145,-85.46877417,-62.88431249,-42.72034874,-28.83449997,-30.79630048,-25.98009883,-31.7603991,-49.49590161,-71.41089816,-58.64779842,-55.54149846,-42.49370051,-66.88520182,-58.79529939,-52.1942984,-60.06439802,-39.98859991,-37.62219961,-34.97679934,-46.89779962,-25.01489908,-31.30488782,-36.78113848,-34.93098738,-36.10466883,-38.82360606,-50.26235815,-29.43151253,-41.69521914
Netherlands,"Crude, NGL and feedstocks",Total energy supply (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",04. Total energy supply (PJ),2616.631878,2986.858808,3133.738723,2756.967347,2436.163992,2779.421909,2597.825116,2457.206447,2553.503374,2158.141657,1740.268093,1691.716691,1867.409126,2050.199656,1825.558003,2145.399549,2215.483529,2329.125955,2321.107923,2204.135652,2374.349269,2447.961503,2496.953958,2493.377837,2659.668033,2710.869863,2705.849701,2758.495617,2612.908887,2637.157108,2645.062582,2451.306806,2571.176695,2655.29062,2685.22091,2622.798402,2567.126514,2546.399187,2493.365406,2603.709395,2511.758119,2499.37292,2399.628878,2440.071298,2372.246633,2519.593393,2449.134309,2377.616878,2683.559798,2446.235214,2542.628588,2540.122366,2714.93885
Netherlands,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",26. Netherlands,"02. Crude, NGL and feedstocks","05. Electricity, CHP and heat plants (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Netherlands,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",26. Netherlands,"02. Crude, NGL and feedstocks","06. Oil refineries, transformation (PJ)",-2615.180042,-2989.506268,-3138.820141,-2762.390375,-2441.672422,-2787.06539,-2603.248144,-2595.647343,-2813.97956,-2455.933061,-2197.220812,-2291.249369,-2543.904315,-2662.497954,-2383.943957,-2889.716167,-2898.851183,-2969.391524,-2984.828679,-2117.800729,-2284.84838,-2353.007592,-2384.727856,-2365.825643,-2571.29601,-2638.397858,-2612.273716,-2680.0276,-2528.8809,-2543.209101,-2532.486601,-2328.014799,-2449.476701,-2539.462601,-2563.988901,-2506.682398,-2452.490498,-2451.063201,-2403.201399,-2537.713398,-2484.1501,-2479.112898,-2410.604901,-2454.595299,-2553.012087,-2590.457591,-2564.68975,-2608.967371,-2651.090058,-2377.876129,-2538.604069,-2518.773684,..
Netherlands,"Crude, NGL and feedstocks",Total final consumption (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",07. Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.84002105,85.05600593,82.49199286,104.3000209,107.9360054,83.22402135,71.59200238,90.45198726,94.61601526,100.5160203,116.6960094,117.1519812,144.1160157,128.7080098,126.3599937,140.0560046,152.8119993,125.8160196,122.5839984,118.5560204,116.9680174,120.6839908,107.883997,111.6480181,113.6879904,92.22919176,96.43528453,90.66838202,73.16830327,61.4801435,68.08854676,60.02299475,62.69758121,..
Netherlands,"Crude, NGL and feedstocks",Industry (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",08. Industry (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Netherlands,"Crude, NGL and feedstocks",Transport (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",09. Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Netherlands,"Crude, NGL and feedstocks",Residential (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",10. Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Netherlands,"Crude, NGL and feedstocks",Commercial and public services (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",11. Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Netherlands,"Crude, NGL and feedstocks",Other final consumption (PJ),26. Netherlands,"02. Crude, NGL and feedstocks",12. Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.84002105,85.05600593,82.49199286,104.3000209,107.9360054,83.22402135,71.59200238,90.45198726,94.61601526,100.5160203,116.6960094,117.1519812,144.1160157,128.7080098,126.3599937,140.0560046,152.8119993,125.8160196,122.5839984,118.5560204,116.9680174,120.6839908,107.883997,111.6480181,113.6879904,92.22919176,96.43528453,90.66838202,73.16830327,61.4801435,68.08854676,60.02299475,62.69758121,..
Netherlands,Oil products,Production (PJ),26. Netherlands,03. Oil products,01. Production (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Oil products,Imports (PJ),26. Netherlands,03. Oil products,02. Imports (PJ),351.0736009,347.8531981,415.9201996,455.235202,403.4409984,420.0138014,390.9231991,576.5157993,815.734998,1207.141002,1375.829,1532.052198,1550.052202,1386.624199,1574.080402,1688.3764,1472.914599,1469.540398,1624.947401,1703.997254,1548.028537,1332.030973,1389.098547,1296.255416,1202.010874,1291.463719,1502.664584,1420.5555,1503.74207,1804.924431,1860.718984,2062.514843,2010.459881,2332.763911,2588.08553,2891.334361,2741.205209,2941.268751,3232.376055,3514.732737,3530.493828,3720.650916,3693.698206,3577.3779,3967.069924,3922.339802,3813.125889,3694.652521,3534.4476,3093.20475,3487.426926,3599.30858,3256.835043
Netherlands,Oil products,Exports (PJ),26. Netherlands,03. Oil products,03. Exports (PJ),-1436.182002,-1574.6492,-1750.2218,-1651.707199,-1392.233602,-1517.764601,-1367.919598,-1352.0202,-1604.469201,-1740.3242,-1689.113201,-1945.163398,-2157.6976,-2185.626198,-2166.667401,-2379.984199,-2368.253401,-2313.458602,-2467.3536,-2355.806982,-2320.404013,-2198.606815,-2285.192799,-2148.373011,-2262.234736,-2295.988199,-2437.557418,-2405.083198,-2381.035802,-2559.40178,-2634.317817,-2610.142405,-2580.008381,-2911.089735,-3164.459707,-3360.420159,-3180.27387,-3361.693646,-3766.589469,-4188.463709,-4142.766374,-4287.05172,-4258.843612,-4222.70657,-4700.825959,-4773.922605,-4702.215512,-4625.620974,-4457.881312,-3847.572079,-4526.465647,-4490.742998,-4409.048717
Netherlands,Oil products,Total energy supply (PJ),26. Netherlands,03. Oil products,04. Total energy supply (PJ),-1464.361402,-1740.068198,-1858.3882,-1636.575602,-1415.901398,-1564.362002,-1459.646002,-1277.355999,-1252.040199,-950.0073989,-644.8821988,-781.6686015,-995.9511985,-1164.254802,-982.4999982,-1207.828998,-1269.871002,-1349.268799,-1356.983999,-1160.622732,-1344.531074,-1400.660044,-1439.982051,-1418.246798,-1551.922462,-1590.145283,-1565.411633,-1608.754701,-1456.859129,-1489.759347,-1470.061835,-1243.424364,-1265.7055,-1355.609226,-1394.12478,-1318.632396,-1259.19166,-1313.403694,-1294.620416,-1353.617774,-1321.277143,-1300.204803,-1253.135805,-1334.025874,-1477.867022,-1473.060111,-1453.400138,-1515.229343,-1606.157625,-1385.003819,-1474.626326,-1525.566272,-1667.085169
