Date,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month,Year_x,Week,WeekKey,day_of_week,DailyLoadConsumption,Year_y,GeothermalHeat,AmbientAirHeat,TotalGeothermal&GroundEnergy,TotalBiomass,TotalRes(excl.Stat.Transfer),TotalRes(incl.Stat.Transfer),Totaal windenergie,TotalSolarEnergy,Total Including Non-Renewable,Hydropower,OnshoreWindEnergy,OffshoreWindEnergy,SolarPower,SolarThermalEnergy,Population,"Crude, NGL and feedstocks",Electricity,Heat,Natural gas,Oil products,Renewables and waste,Total,Commercial and public services (PJ),"Electricity, CHP and heat plants (PJ)",Exports (PJ),Imports (PJ),Industry (PJ),"Oil refineries, transformation (PJ)",Other final consumption (PJ),Production (PJ),Residential (PJ),Total energy supply (PJ),Total final consumption (PJ),Transport (PJ),NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,GDP,NAO
2009-01-15,0.0,0.0,1,2.6,10,24,5.0,14,3.3,5.0,12,2.0,1,1,2009,3,200903,Thursday,321462.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.057,0.791,0.722,0.752,0.662,0.459,0.374,0.276,-0.103,0.144,0.198,0.216,0.257,0.212,0.187,0.132,0.118,0.108,0.104,0.08,0.1424,0.1344285714285714,0.8566666666666666,0.5046000000000002,158583.0,-0.01
2009-01-16,-0.1,-0.1,14,1.7,1,8,3.7,23,3.9,5.0,13,3.0,17,1,2009,3,200903,Friday,335329.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0568563535911601,0.7902651933701658,0.7211712707182321,0.7512817679558011,0.6617237569060774,0.45871270718232043,0.3737569060773481,0.2758011049723757,-0.10307734806629834,0.14395580110497236,0.19795580110497238,0.21596132596685083,0.2567127071823204,0.21199447513812153,0.18677900552486187,0.13197237569060774,0.1179889502762431,0.10795027624309392,0.10394475138121546,0.07995580110497237,0.14230165745856355,0.13436937647987368,0.856097605893186,0.5042552486187847,158583.0,-0.01
2009-01-17,0.7,0.3,12,5.0,28,3,7.5,16,5.1,7.0,24,4.0,1,1,2009,3,200903,Saturday,309558.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0567127071823204,0.7895303867403315,0.720342541436464,0.7505635359116022,0.6614475138121547,0.4584254143646409,0.37351381215469615,0.27560220994475143,-0.10315469613259667,0.14391160220994473,0.19791160220994475,0.21592265193370166,0.2564254143646409,0.2119889502762431,0.18655801104972375,0.13194475138121547,0.11797790055248618,0.10790055248618785,0.10388950276243093,0.07991160220994475,0.14220331491712707,0.13431018153117597,0.8555285451197052,0.5039104972375692,158583.0,-0.01
2009-01-18,5.4,2.9,4,5.5,21,24,7.7,3,6.1,8.0,2,4.0,18,1,2009,3,200903,Sunday,297495.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0565690607734806,0.7887955801104973,0.7195138121546961,0.7498453038674033,0.6611712707182321,0.4581381215469613,0.3732707182320442,0.2754033149171271,-0.10323204419889502,0.14386740331491712,0.19786740331491715,0.21588397790055247,0.2561381215469613,0.21198342541436463,0.18633701657458562,0.1319171270718232,0.11796685082872928,0.10785082872928177,0.1038342541436464,0.07986740331491712,0.1421049723756906,0.13425098658247828,0.8549594843462246,0.5035657458563537,158583.0,-0.01
2009-01-19,4.1,1.0,19,4.8,21,1,8.8,18,6.5,10.0,14,4.0,5,1,2009,4,200904,Monday,342859.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0564254143646408,0.7880607734806631,0.7186850828729282,0.7491270718232044,0.6608950276243094,0.4578508287292818,0.3730276243093923,0.2752044198895028,-0.10330939226519337,0.1438232044198895,0.19782320441988951,0.2158453038674033,0.2558508287292818,0.2119779005524862,0.18611602209944753,0.13188950276243094,0.11795580110497236,0.10780110497237569,0.10377900552486187,0.0798232044198895,0.14200662983425413,0.13419179163378056,0.854390423572744,0.5032209944751382,158583.0,-0.01
2009-01-20,0.9,0.4,2,4.0,18,6,6.4,14,4.8,6.0,1,3.0,16,1,2009,4,200904,Tuesday,329376.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.056281767955801,0.7873259668508288,0.7178563535911602,0.7484088397790055,0.6606187845303868,0.4575635359116022,0.3727845303867403,0.27500552486187846,-0.10338674033149171,0.14377900552486186,0.19777900552486188,0.21580662983425414,0.2555635359116022,0.21197237569060773,0.1858950276243094,0.13186187845303868,0.11794475138121546,0.10775138121546961,0.10372375690607734,0.07977900552486188,0.14190828729281768,0.13413259668508284,0.8538213627992632,0.5028762430939228,158583.0,-0.01
2009-01-21,0.0,0.0,1,3.4,12,3,5.6,13,3.5,4.0,1,2.0,3,1,2009,4,200904,Wednesday,321928.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0561381215469612,0.7865911602209945,0.7170276243093923,0.7476906077348067,0.6603425414364641,0.4572762430939227,0.3725414364640884,0.2748066298342542,-0.10346408839779005,0.14373480662983423,0.19773480662983425,0.21576795580110497,0.25527624309392266,0.21196685082872926,0.18567403314917127,0.1318342541436464,0.11793370165745856,0.10770165745856354,0.10366850828729281,0.07973480662983426,0.1418099447513812,0.13407340173638513,0.8532523020257826,0.5025314917127074,158583.0,-0.01
2009-01-22,6.8,1.4,15,4.0,16,1,6.2,19,6.4,9.0,17,3.0,21,1,2009,4,200904,Thursday,342667.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0559944751381214,0.7858563535911602,0.7161988950276242,0.7469723756906077,0.6600662983425415,0.4569889502762431,0.37229834254143646,0.27460773480662987,-0.1035414364640884,0.14369060773480663,0.19769060773480665,0.2157292817679558,0.2549889502762431,0.21196132596685083,0.18545303867403315,0.13180662983425415,0.11792265193370165,0.10765193370165746,0.10361325966850829,0.07969060773480663,0.14171160220994475,0.1340142067876874,0.852683241252302,0.5021867403314919,158583.0,-0.01
2009-01-23,22.6,3.1,4,5.1,37,5,7.7,14,5.9,8.0,16,3.0,15,1,2009,4,200904,Friday,346260.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0558508287292816,0.785121546961326,0.7153701657458563,0.7462541436464089,0.6597900552486188,0.45670165745856356,0.37205524861878453,0.27440883977900554,-0.10361878453038674,0.143646408839779,0.19764640883977902,0.21569060773480664,0.25470165745856355,0.21195580110497236,0.18523204419889502,0.13177900552486188,0.11791160220994475,0.10760220994475138,0.10355801104972376,0.07964640883977901,0.1416132596685083,0.1339550118389897,0.8521141804788213,0.5018419889502764,158583.0,-0.01
2009-01-24,-0.1,-0.1,3,4.0,9,24,6.1,13,3.2,4.0,1,2.0,19,1,2009,4,200904,Saturday,309187.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.055707182320442,0.7843867403314917,0.7145414364640884,0.74553591160221,0.6595138121546962,0.456414364640884,0.3718121546961326,0.2742099447513812,-0.10369613259668507,0.14360220994475137,0.1976022099447514,0.21565193370165744,0.25441436464088396,0.21195027624309393,0.1850110497237569,0.13175138121546962,0.11790055248618785,0.1075524861878453,0.10350276243093923,0.07960220994475138,0.14151491712707182,0.133895816890292,0.8515451197053406,0.501497237569061,158583.0,-0.01
