Feature Set,Horizon,RMSE,MAE,MAPE (%),nRMSE (%),nMAE (%)
Exogenous Features,1,6077.078522115771,6077.078522115771,1.9538662741352044,1.9538662741352044,1.9538662741352044
Generated Features,1,7538.033870068553,7538.033870068553,2.4235839801010286,2.4235839801010286,2.4235839801010286
Both Exogenous & Generated,1,8833.071254264622,8833.071254264622,2.8399567255767653,2.8399567255767653,2.8399567255767653
Exogenous Features,7,49537.9172639798,44461.04998277011,13.775810039789038,15.570594190416301,13.974850070350172
Generated Features,7,16985.473591104797,16226.728298218539,5.166293226910672,5.338817839470033,5.100331530357259
Both Exogenous & Generated,7,19439.85064947599,18593.858716975697,5.841775720551228,6.1102695127916595,5.844360128690318
Exogenous Features,30,54494.39675206548,52787.49377134597,16.054544357636896,16.627762783462078,16.106939000662564
Generated Features,30,10092.423163731683,7963.773574699898,2.4507950508489427,3.0794802452875607,2.429969790541716
Both Exogenous & Generated,30,11706.218786817026,9165.028559842258,2.8147841966708467,3.571894372261733,2.796506244303659
Exogenous Features,90,42972.31112783352,39429.64048439509,12.322336357522804,13.697342641347134,12.568123095201111
Generated Features,90,10243.617681771046,8089.9057835974145,2.626795938009648,3.265133701019396,2.578642119678245
Both Exogenous & Generated,90,12231.934842085384,10074.11533949355,3.244262782242138,3.898906023468577,3.211105151012413
Exogenous Features,180,34334.11096147869,28261.254762229353,9.344761419642635,11.82253817321833,9.731423179250863
Generated Features,180,12279.535914165519,9545.052457524667,3.4054092332264467,4.2283105060593345,3.2867240153987307
Both Exogenous & Generated,180,13277.804440549899,10554.04990688224,3.6903522747861337,4.572052266943812,3.6341601518722664
