Feature Set,Horizon,nRMSE (%),nMAE (%),MAPE (%)
Exogenous Features,1,0.3287285126541204,0.3287285126541204,0.3287285126541204
Generated Features,1,4.326008293583869,4.326008293583869,4.326008293583869
Both Exogenous & Generated,1,4.220889769136595,4.220889769136595,4.220889769136595
Exogenous Features,7,13.5574489807393,13.5574489807393,13.5574489807393
Generated Features,7,7.2351735185006465,7.2351735185006465,7.2351735185006465
Both Exogenous & Generated,7,8.27020897774328,8.27020897774328,8.27020897774328
Exogenous Features,30,11.824446202107467,11.824446202107467,11.824446202107467
Generated Features,30,1.8314092339840171,1.8314092339840171,1.8314092339840171
Both Exogenous & Generated,30,0.2934508794042908,0.2934508794042908,0.2934508794042908
Exogenous Features,90,3.5489761039921417,3.5489761039921417,3.5489761039921417
Generated Features,90,0.9326982929525166,0.9326982929525166,0.9326982929525166
Both Exogenous & Generated,90,0.3836039706496492,0.3836039706496492,0.3836039706496492
Exogenous Features,180,2.4268431508867256,2.4268431508867256,2.4268431508867256
Generated Features,180,7.915128063164703,7.915128063164703,7.915128063164703
Both Exogenous & Generated,180,7.716740368202683,7.716740368202683,7.716740368202683
