Feature Set,Horizon,nRMSE (%),nMAE (%),MAPE (%)
Exogenous Features,1,4.006834,4.006834,4.006834
Generated Features,1,4.497213,4.497213,4.497213
Both Exogenous & Generated,1,9.139589,9.139589,9.139589
Exogenous Features,7,3.852352,3.276571,3.2978
Generated Features,7,5.125093,4.300403,4.307288
Both Exogenous & Generated,7,5.364407,4.865148,4.879648
Exogenous Features,30,5.575524,4.54447,4.471425
Generated Features,30,6.265125,5.486933,5.518079
Both Exogenous & Generated,30,6.566416,5.872515,5.839263
Exogenous Features,90,5.651176,4.855349,4.852437
Generated Features,90,5.82762,5.136011,5.136305
Both Exogenous & Generated,90,5.44053,4.79542,4.787236
Exogenous Features,180,5.631983,4.780554,4.799768
Generated Features,180,5.716597,4.927796,4.91774
Both Exogenous & Generated,180,5.606643,4.803969,4.806352
