Feature Set,Horizon,RMSE,MAE,MAPE (%),nRMSE (%),nMAE (%)
Exogenous Features,1,2560.829636659939,2560.829636659939,0.823342769501316,0.823342769501316,0.823342769501316
Generated Features,1,8420.206899396551,8420.206899396551,2.7072150248016924,2.7072150248016924,2.7072150248016924
Both Exogenous & Generated,1,6802.6396065671,6802.6396065671,2.187144374389346,2.187144374389346,2.187144374389346
Exogenous Features,7,37250.263203575014,31887.083487809326,10.764062410833034,12.548376473168995,10.741699355241076
Generated Features,7,21022.990524701137,19264.9773491522,6.595596297864477,7.081947267167132,6.489731017552493
Both Exogenous & Generated,7,21964.328412411305,20184.171508669653,6.888494660343926,7.399052736701404,6.799377000522519
Exogenous Features,30,45224.52013175942,41221.190269411076,12.402354629416244,13.873450202753487,12.64535541415932
Generated Features,30,15445.724675269377,12445.949295377886,3.9137372078773636,4.738259057331736,3.8180229944366353
Both Exogenous & Generated,30,16760.49598684769,13527.370514335285,4.266091119782221,5.141589247813538,4.149768768315403
Exogenous Features,90,57403.299822197165,53754.69842071467,16.144591133029486,17.441145367830966,16.33257168601066
Generated Features,90,11654.53021185238,9130.398105637294,2.8070244979486607,3.541056981886148,2.774136698061573
Both Exogenous & Generated,90,13490.701862389735,10738.875790990976,3.299917130003348,4.098950635674471,3.2628489013331667
Exogenous Features,180,48161.763509253215,42401.416654407236,13.105224908921153,15.351470742063137,13.515371111091076
Generated Features,180,12730.543758960768,9925.858396133912,3.233831530841589,4.057836669720216,3.1638485316019564
Both Exogenous & Generated,180,12212.964904914288,9883.810611245306,3.1919328684685793,3.892859391986635,3.1504458799452753
