Feature Set,Horizon,RMSE,MAE,MAPE (%),nRMSE (%),nMAE (%)
Exogenous Features,1,6382.693752755702,6382.693752755702,2.052125872038428,2.052125872038428,2.052125872038428
Generated Features,1,9586.510801835917,9586.510801835917,3.082198144087631,3.082198144087631,3.082198144087631
Both Exogenous & Generated,1,8834.07210684201,8834.07210684201,2.840278513766472,2.840278513766472,2.840278513766472
Exogenous Features,7,48919.30921225207,43940.341039690735,13.617435228639083,15.37615535510862,13.811182558839652
Generated Features,7,18405.717074946566,16933.519090408976,5.441509001192494,5.785224070491838,5.322487672773893
Both Exogenous & Generated,7,19443.00805487415,18043.892752839,5.784110441827125,6.111261938005812,5.671496647157958
Exogenous Features,30,53551.5685387602,51862.688702270156,15.773684360855075,16.34007955709805,15.824755139090538
Generated Features,30,9997.142967699,7024.5385937799,2.193611130259067,3.0504075957672563,2.1433829597575893
Both Exogenous & Generated,30,10611.620636663283,7423.0120571494745,2.305834324952271,3.2379018983789387,2.2649683450323184
Exogenous Features,90,42243.55690398234,38720.42133110339,12.098391438140382,13.465053615147815,12.342060835679062
Generated Features,90,9568.917430623196,7194.750171162985,2.3380201342346987,3.0500742760635617,2.293312966578597
Both Exogenous & Generated,90,9649.626127526888,7277.365694739382,2.351617238420528,3.0758000200743476,2.3196465079735176
Exogenous Features,180,33801.102045732885,27809.835823557754,9.19750055204147,11.639002963579713,9.575982496935062
Generated Features,180,11581.266985266968,8646.777670593414,3.0663349433274654,3.9878699984738177,2.977413896070191
Both Exogenous & Generated,180,11476.796233869178,8509.000156277429,2.9975349598151717,3.9518967516997594,2.9299718660657037
