Feature Set,Horizon,RMSE,MAE,MAPE (%),nRMSE (%),nMAE (%)
Exogenous Features,1,7114.6303738649585,7114.6303738649585,2.2874537970578914,2.2874537970578914,2.2874537970578914
Generated Features,1,9734.314012468327,9734.314012468327,3.1297189564998136,3.1297189564998136,3.1297189564998136
Both Exogenous & Generated,1,8856.952984903473,8856.952984903473,2.847635038090487,2.847635038090487,2.847635038090487
Exogenous Features,7,45825.64831081168,41346.85970559508,12.82904851101627,14.403766100179013,12.99600808998919
Generated Features,7,18733.993335837207,17374.299248605592,5.579470458119381,5.88840677826369,5.461032233173841
Both Exogenous & Generated,7,19573.14690840547,18182.95185694165,5.830628365393031,6.15216675170527,5.715205244492138
Exogenous Features,30,50664.10506648732,49056.23748921429,14.92089780836958,15.459033788643966,14.968428474050729
Generated Features,30,10149.876301922091,7171.059720493333,2.2364302530563505,3.097010802738119,2.1880906486754266
Both Exogenous & Generated,30,10656.286854313852,7448.66545990294,2.3148595694938043,3.2515308091623214,2.272795914855946
Exogenous Features,90,40203.29237464498,36768.507082148964,11.482423653584586,12.814723167381425,11.719891872159216
Generated Features,90,9792.509692604122,7428.948391496721,2.4137028667974176,3.1213438853521094,2.3679632049695947
Both Exogenous & Generated,90,9708.819682762232,7329.66833441222,2.3698204144343595,3.094667853498668,2.336317875136308
Exogenous Features,180,32351.568813937094,26613.982847291743,8.810172588465997,11.139873628747617,9.164204907082105
Generated Features,180,11630.611364914485,8740.369487192946,3.0949999687899092,4.004861142140565,3.0096411124874223
Both Exogenous & Generated,180,11493.875589297326,8534.339802131099,3.0061019329100076,3.957777822328027,2.9386972683554835
