Feature Set,Horizon,nRMSE (%),nMAE (%),MAPE (%)
Exogenous Features,1,4.160699825573713,3.1362228126043097,3.226575957575564
Exogenous Features,7,7.2507164598177685,5.217349869836636,5.551568933012276
Exogenous Features,30,4.001469464993268,2.698131410572934,2.8144375782089384
Exogenous Features,90,3.596253894288764,2.514613573494041,2.609036533798231
Exogenous Features,180,3.6043850214325617,2.5491292427268033,2.614077036370064
Generated Features,1,3.2509466780002843,2.2278177897344027,2.2736857191959112
Generated Features,7,2.974316811029566,1.912114047679072,1.9633434368670815
Generated Features,30,2.8977166378785117,1.8300884089334686,1.8681998790328485
Generated Features,90,2.8538984831649503,1.7939649844545082,1.8362160764797142
Generated Features,180,2.861533868141395,1.824171900300231,1.8802683742672153
Both Exogenous & Generated,1,3.4652664247968747,2.4558587080095124,2.520979809714995
Both Exogenous & Generated,7,3.3476658511069597,2.2313667300507816,2.292569872725324
Both Exogenous & Generated,30,3.504226777288924,2.3073233964672846,2.374895998623496
Both Exogenous & Generated,90,2.8716501181245278,1.8086428166979225,1.8550133542614045
Both Exogenous & Generated,180,3.1908032660772156,2.2203348783094476,2.2884343097708952
