Feature Set,Horizon,nRMSE (%),nMAE (%),MAPE (%)
Exogenous Features,1,4.9176279237773874,3.910246099370861,4.022263613295385
Exogenous Features,7,6.021370229116881,4.231915871948371,4.457214461364312
Exogenous Features,30,3.888845721460712,2.7177121576020777,2.8118487145428155
Exogenous Features,90,3.4769507054326056,2.3312986992221014,2.3954772761067
Exogenous Features,180,3.5946049852452906,2.622671830031628,2.711360909001333
Generated Features,1,3.088668291234086,2.057225462596728,2.107512124760373
Generated Features,7,2.975104617247338,1.9391759766616723,1.9868110716771907
Generated Features,30,2.995598106260863,1.9822998710578936,2.0366029765617086
Generated Features,90,2.9154012914203062,1.913117640850437,1.9678484055510002
Generated Features,180,3.284890678153618,2.32528949731969,2.393548115481232
Both Exogenous & Generated,1,3.9441508140915635,2.9708882076093865,3.047199562621909
Both Exogenous & Generated,7,3.0858687856744944,2.0679331497264726,2.1207751495037934
Both Exogenous & Generated,30,4.224370187927887,2.8453878451963583,2.92347293777872
Both Exogenous & Generated,90,3.318297978240276,2.247089426062978,2.3101644927655633
Both Exogenous & Generated,180,3.474920631271395,2.569908067941174,2.651987326763077
