HourlyMaxTemperature,AveragePrice_Electricity_Household,HourlyMaxTemperature,day_of_week,AveragePrice_NaturalGas_Household,GDP,TotalSolarEnergy (MWh),DailyPrecipitation,Population,Year,TotalRes(incl.Stat.Transfer) (MWh),is_weekend,is_holiday,rolling_7,rolling_30,loadConsumption
4.7,0.1604,4.7,4,0.8186666666666667,171938.0,1424178.0599999998,-0.1,1690.0,2015,32553593.76,0,1,275667.0,275667.0,275667.0
10.1,0.1604,10.1,0,0.8186666666666667,171938.0,1424178.0599999998,4.3,1690.0,2015,32553593.76,0,0,297346.5,297346.5,319026.0
5.9,0.1604,5.9,2,0.8186666666666667,171938.0,1424178.0599999998,1.5,1690.0,2015,32553593.76,1,0,302608.0,302608.0,313131.0
8.0,0.1604,8.0,3,0.8186666666666667,171938.0,1424178.0599999998,-0.1,1690.0,2015,32553593.76,1,0,301164.0,301164.0,296832.0
3.8,0.1604,3.8,1,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,311118.6,311118.6,350937.0
5.8,0.1604,5.8,5,0.8186666666666667,171938.0,1424178.0599999998,1.8,1690.0,2015,32553593.76,0,0,318087.3333333333,318087.3333333333,352931.0
7.2,0.1604,7.2,6,0.8186666666666667,171938.0,1424178.0599999998,1.2,1690.0,2015,32553593.76,0,0,322841.0,322841.0,351363.0
8.2,0.1604,8.2,4,0.8186666666666667,171938.0,1424178.0599999998,17.6,1690.0,2015,32553593.76,0,0,334376.5714285714,327037.875,356416.0
13.7,0.1604,13.7,0,0.8186666666666667,171938.0,1424178.0599999998,8.5,1690.0,2015,32553593.76,0,0,339014.0,329754.55555555556,351488.0
13.3,0.1604,13.3,2,0.8186666666666667,171938.0,1424178.0599999998,3.4,1690.0,2015,32553593.76,1,0,339246.5714285714,328255.0,314759.0
8.2,0.1604,8.2,3,0.8186666666666667,171938.0,1424178.0599999998,1.4,1690.0,2015,32553593.76,1,0,339684.71428571426,325677.1818181818,299899.0
10.2,0.1604,10.2,1,0.8186666666666667,171938.0,1424178.0599999998,1.9,1690.0,2015,32553593.76,0,0,339430.0,327633.5833333333,349154.0
11.0,0.1604,11.0,5,0.8186666666666667,171938.0,1424178.0599999998,14.0,1690.0,2015,32553593.76,0,0,339611.5714285714,329677.3076923077,354202.0
6.0,0.1604,6.0,6,0.8186666666666667,171938.0,1424178.0599999998,1.9,1690.0,2015,32553593.76,0,0,340363.4285714286,331602.21428571426,356626.0
10.3,0.1604,10.3,4,0.8186666666666667,171938.0,1424178.0599999998,8.0,1690.0,2015,32553593.76,0,0,340211.71428571426,333185.6666666667,355354.0
8.3,0.1604,8.3,0,0.8186666666666667,171938.0,1424178.0599999998,1.7,1690.0,2015,32553593.76,0,0,339741.71428571426,334123.9375,348198.0
5.9,0.1604,5.9,2,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,339662.28571428574,332952.1176470588,314203.0
3.3,0.1604,3.3,3,0.8186666666666667,171938.0,1424178.0599999998,4.7,1690.0,2015,32553593.76,1,0,340350.14285714284,331383.3333333333,304714.0
1.6,0.1604,1.6,1,0.8186666666666667,171938.0,1424178.0599999998,-0.1,1690.0,2015,32553593.76,0,1,340729.4285714286,332458.36842105264,351809.0
3.7,0.1604,3.7,5,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,340922.28571428574,333613.05,355552.0
1.5,0.1604,1.5,6,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,341013.71428571426,334739.38095238095,357266.0
0.4,0.1604,0.4,4,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,341662.14285714284,335882.7272727273,359893.0
