loadConsumption,DailyPrecipitation,DailyMeanTemperature,DailyMeanWindspeed,Month,Year,Week,day_of_week,AveragePrice_Electricity_Household,AveragePrice_NaturalGas_Household,Economic_Component,RenewableEnergy_Component,is_weekend,is_holiday,day_of_year,rolling_7,rolling_30,rolling_365
280721.0,0.0,-0.6,1.6,1,2009,1,4,0.1424,0.8566666666666666,-1.6312590397141808,-1.744467048902433,0,1,1,280721.0,280721.0,280721.0
280721.0,0.0,-0.6,1.6,1,2009,1,4,0.1424,0.8566666666666666,-1.867947255567976,-1.744467048902442,0,1,1,280721.0,280721.0,280721.0
297433.0,0.5,-0.8,2.2,1,2009,1,0,0.1424,0.8566666666666666,-1.6312590397141848,-1.744467048902442,0,0,2,286291.6666666667,286291.6666666667,286291.6666666667
297433.0,0.5,-0.8,2.2,1,2009,1,0,0.1424,0.8566666666666666,-1.867947255567976,-1.744467048902442,0,0,2,289077.0,289077.0,289077.0
307080.0,-0.1,-2.7,1.9,1,2009,1,2,0.1424,0.8566666666666666,-1.6312590397141848,-1.744467048902442,1,0,3,292677.6,292677.6,292677.6
307080.0,-0.1,-2.7,1.9,1,2009,1,2,0.1424,0.8566666666666666,-1.867947255567976,-1.744467048902442,1,0,3,295078.0,295078.0,295078.0
296272.0,4.0,2.3,3.8,1,2009,1,3,0.1424,0.8566666666666666,-1.6312590397141848,-1.744467048902442,1,0,4,295248.5714285714,295248.5714285714,295248.5714285714
296272.0,4.0,2.3,3.8,1,2009,1,3,0.1424,0.8566666666666666,-1.867947255567976,-1.744467048902442,1,0,4,297470.14285714284,295376.5,295376.5
332885.0,2.1,-1.2,5.2,1,2009,2,1,0.1424,0.8566666666666666,-1.6312590397141848,-1.744467048902442,0,0,5,304922.14285714284,299544.1111111111,299544.1111111111
332885.0,2.1,-1.2,5.2,1,2009,2,1,0.1424,0.8566666666666666,-1.867947255567976,-1.744467048902442,0,0,5,309986.71428571426,302878.2,302878.2
340775.0,0.0,-5.9,2.1,1,2009,2,5,0.1424,0.8566666666666666,-1.6312590397141848,-1.744467048902442,0,0,6,316178.4285714286,306323.36363636365,306323.36363636365
340775.0,0.0,-5.9,2.1,1,2009,2,5,0.1424,0.8566666666666666,-1.867947255567976,-1.744467048902442,0,0,6,320992.0,309194.3333333333,309194.3333333333
345846.0,0.2,-0.8,2.0,1,2009,2,6,0.1424,0.8566666666666666,-1.6312590397141848,-1.744467048902442,0,0,7,326530.0,312013.6923076923,312013.6923076923
